experiment,baseline,seed,segment_index,visit_index,regime_id,start_step,end_step,episodes,first_episode_return,mean_episode_return,last_20pct_return,cumulative_reward_auc
gravity_aba,continuous_avg,0,0,0,A,0,5000000,5000,-214.39492109217505,4310.524210022966,5894.785147388246,21552621.050114833
gravity_aba,continuous_avg,0,1,0,B,5000000,7500000,2500,-243.77160804293084,6123.90515613069,6322.646725118329,15309762.890326723
gravity_aba,continuous_avg,0,2,1,A,7500000,10000000,2500,4160.988386538045,5773.44506100676,5964.115853677395,14433612.6525169
gravity_aba,oracle_full_reset,0,0,0,A,0,5000000,5000,-214.39492109217505,4310.524210022966,5894.785147388246,21552621.050114833
gravity_aba,oracle_full_reset,0,1,0,B,5000000,7500000,2500,-176.0298076708215,1506.2726146557952,1950.666946165388,3765681.5366394883
gravity_aba,oracle_full_reset,0,2,1,A,7500000,10000000,2500,-217.92496315693725,3359.902465262845,4872.376062492867,8399756.163157113
gravity_aba,oracle_mixture,0,0,0,A,0,5000000,5000,-214.39492109217505,4310.524210022966,5894.785147388246,21552621.050114833
gravity_aba,oracle_mixture,0,1,0,B,5000000,7500000,2500,-176.0298076708215,1506.2726146557952,1950.666946165388,3765681.5366394883
gravity_aba,oracle_mixture,0,2,1,A,7500000,10000000,2500,5896.79437073765,6321.389681054859,6468.928447750644,15803474.202637147
gravity_aba,oracle_optimizer_reset,0,0,0,A,0,5000000,5000,-214.39492109217505,4310.524210022966,5894.785147388246,21552621.050114833
gravity_aba,oracle_optimizer_reset,0,1,0,B,5000000,7500000,2500,-456.8490102808353,3959.365708131972,4607.315586394853,9898414.27032993
gravity_aba,oracle_optimizer_reset,0,2,1,A,7500000,10000000,2500,-359.3240769510759,5269.668089408131,5942.417172046723,13174170.223520327
