step=458490, D_t=15.731966, c_t=3.094081, e_P=0.787061, e_R=0.421266, e_P_bar=4.510713, e_R_bar=3.334276
step=475178, D_t=196.704439, c_t=3.365813, e_P=0.419383, e_R=0.747595, e_P_bar=4.748251, e_R_bar=19.257803
step=479638, D_t=141.137267, c_t=3.393819, e_P=0.309346, e_R=0.886955, e_P_bar=1.639220, e_R_bar=16.720870
step=488071, D_t=87.383917, c_t=3.339020, e_P=0.536230, e_R=0.520816, e_P_bar=4.380174, e_R_bar=12.473248
step=495051, D_t=29.698750, c_t=3.079231, e_P=0.585972, e_R=0.054530, e_P_bar=7.672863, e_R_bar=0.724348
step=499335, D_t=196.917542, c_t=3.379636, e_P=0.497293, e_R=0.451850, e_P_bar=5.038017, e_R_bar=19.195142
step=505693, D_t=63.711250, c_t=3.313188, e_P=0.367542, e_R=0.272523, e_P_bar=3.610625, e_R_bar=10.695134
step=507986, D_t=47.410072, c_t=3.246983, e_P=0.621661, e_R=0.236643, e_P_bar=5.807230, e_R_bar=7.816408
step=512652, D_t=68.832728, c_t=3.096265, e_P=0.297879, e_R=0.389424, e_P_bar=2.510389, e_R_bar=11.461387
step=515443, D_t=54.423629, c_t=3.109032, e_P=1.007627, e_R=0.324494, e_P_bar=8.298985, e_R_bar=6.322508
step=519362, D_t=12.884700, c_t=3.049649, e_P=0.503278, e_R=0.171608, e_P_bar=4.241831, e_R_bar=2.788597
step=521805, D_t=69.262360, c_t=3.555420, e_P=0.427628, e_R=0.507844, e_P_bar=3.547996, e_R_bar=11.222141
step=531226, D_t=89.099366, c_t=3.673685, e_P=1.056285, e_R=0.397506, e_P_bar=10.441149, e_R_bar=8.317520
step=540096, D_t=11.657696, c_t=3.017938, e_P=0.258545, e_R=0.158374, e_P_bar=2.175070, e_R_bar=4.310970
step=543856, D_t=76.884869, c_t=3.130153, e_P=0.726251, e_R=0.339486, e_P_bar=7.017600, e_R_bar=10.223650
step=547816, D_t=193.026136, c_t=3.441304, e_P=0.995818, e_R=0.698818, e_P_bar=10.598174, e_R_bar=16.544818
step=556227, D_t=163.497283, c_t=3.896732, e_P=0.575789, e_R=0.444419, e_P_bar=7.190233, e_R_bar=16.592019
step=563599, D_t=72.402133, c_t=3.395451, e_P=0.819477, e_R=0.216272, e_P_bar=10.516585, e_R_bar=5.848564
step=570224, D_t=91.951216, c_t=3.463759, e_P=1.051233, e_R=0.062723, e_P_bar=13.526973, e_R_bar=0.960961
step=575034, D_t=21.853511, c_t=3.019929, e_P=0.629577, e_R=0.081300, e_P_bar=6.443964, e_R_bar=1.477277
step=577618, D_t=274.020632, c_t=3.696870, e_P=0.392554, e_R=0.663825, e_P_bar=3.460805, e_R_bar=23.153058
step=588837, D_t=60.223464, c_t=3.291213, e_P=0.530694, e_R=0.174348, e_P_bar=8.008261, e_R_bar=7.504311
step=593189, D_t=180.077435, c_t=3.573876, e_P=0.619167, e_R=0.439828, e_P_bar=7.291146, e_R_bar=17.521246
step=604462, D_t=166.982363, c_t=3.401049, e_P=0.530325, e_R=0.470509, e_P_bar=6.987291, e_R_bar=16.886163
step=608582, D_t=123.382518, c_t=3.791664, e_P=0.527792, e_R=0.352912, e_P_bar=6.749493, e_R_bar=14.184829
step=614013, D_t=24.814671, c_t=3.072895, e_P=0.200314, e_R=0.164000, e_P_bar=1.867077, e_R_bar=6.792891
step=618246, D_t=15.535285, c_t=3.026982, e_P=0.198678, e_R=0.140517, e_P_bar=1.428725, e_R_bar=5.387886
step=637926, D_t=52.472398, c_t=3.239581, e_P=0.522041, e_R=0.196611, e_P_bar=7.329329, e_R_bar=7.157216
step=640014, D_t=24.166946, c_t=3.151746, e_P=0.197031, e_R=0.173935, e_P_bar=1.435064, e_R_bar=6.802535
step=641022, D_t=222.633612, c_t=3.558026, e_P=0.649255, e_R=0.518641, e_P_bar=6.438857, e_R_bar=20.094983
step=643981, D_t=44.946012, c_t=3.313504, e_P=0.461327, e_R=0.171676, e_P_bar=5.622748, e_R_bar=7.633919
step=648747, D_t=155.373287, c_t=4.475847, e_P=0.822021, e_R=0.303954, e_P_bar=12.423284, e_R_bar=12.506342
step=659024, D_t=30.167726, c_t=3.085973, e_P=0.205851, e_R=0.219846, e_P_bar=1.720317, e_R_bar=7.574692
step=662031, D_t=102.457650, c_t=3.832539, e_P=0.961137, e_R=0.151511, e_P_bar=13.266430, e_R_bar=5.377465
step=663729, D_t=31.451194, c_t=3.261629, e_P=0.321943, e_R=0.180462, e_P_bar=3.234528, e_R_bar=7.241562
step=669017, D_t=69.602826, c_t=3.135958, e_P=0.266771, e_R=0.256350, e_P_bar=2.545452, e_R_bar=11.520691
step=674244, D_t=97.658308, c_t=3.833152, e_P=0.336395, e_R=0.317508, e_P_bar=3.709394, e_R_bar=13.474309
step=677055, D_t=52.167297, c_t=3.000738, e_P=0.411868, e_R=0.221775, e_P_bar=4.062155, e_R_bar=9.371953
step=681013, D_t=156.008897, c_t=4.373263, e_P=0.588574, e_R=0.307978, e_P_bar=8.114050, e_R_bar=15.690124
step=684038, D_t=55.524071, c_t=3.149244, e_P=0.765813, e_R=0.053403, e_P_bar=10.435880, e_R_bar=1.463061
step=687147, D_t=62.938078, c_t=3.553873, e_P=0.563109, e_R=0.265151, e_P_bar=5.903315, e_R_bar=9.540808
step=694024, D_t=65.442611, c_t=3.461942, e_P=0.296704, e_R=0.311114, e_P_bar=2.941342, e_R_bar=11.055936
step=696579, D_t=93.562447, c_t=3.596237, e_P=0.336861, e_R=0.315860, e_P_bar=3.144877, e_R_bar=13.312950
step=699775, D_t=19.344258, c_t=3.006865, e_P=0.662596, e_R=0.039569, e_P_bar=6.215751, e_R_bar=0.230123
step=711610, D_t=94.370945, c_t=3.274420, e_P=0.930134, e_R=0.084348, e_P_bar=13.616838, e_R_bar=1.823076
step=716091, D_t=123.878743, c_t=3.522218, e_P=0.502142, e_R=0.270592, e_P_bar=6.017129, e_R_bar=14.544815
step=722039, D_t=57.179191, c_t=3.247266, e_P=0.268092, e_R=0.202861, e_P_bar=2.669974, e_R_bar=10.355174
step=724073, D_t=50.580345, c_t=3.062163, e_P=0.495719, e_R=0.431847, e_P_bar=3.483889, e_R_bar=9.435211
step=732039, D_t=58.303714, c_t=3.247600, e_P=0.718141, e_R=0.001019, e_P_bar=10.798492, e_R_bar=-0.982850
step=738034, D_t=65.992285, c_t=3.462180, e_P=0.317278, e_R=0.215630, e_P_bar=3.888410, e_R_bar=10.810404
step=745031, D_t=30.063390, c_t=3.214329, e_P=0.123265, e_R=0.158579, e_P_bar=0.679875, e_R_bar=7.724283
step=746781, D_t=33.906574, c_t=3.051482, e_P=0.118862, e_R=0.182089, e_P_bar=0.804081, e_R_bar=8.195523
step=753037, D_t=24.438440, c_t=3.031936, e_P=0.250359, e_R=0.171177, e_P_bar=3.028842, e_R_bar=6.301031
step=757014, D_t=85.533083, c_t=3.057414, e_P=0.192435, e_R=0.256081, e_P_bar=2.277446, e_R_bar=12.879418
step=760031, D_t=38.901766, c_t=3.190900, e_P=0.312042, e_R=0.174594, e_P_bar=3.826361, e_R_bar=7.947483
step=762019, D_t=37.849853, c_t=3.155352, e_P=0.421827, e_R=0.160356, e_P_bar=5.164190, e_R_bar=7.002203
step=767024, D_t=35.590036, c_t=3.263413, e_P=0.195304, e_R=0.169990, e_P_bar=2.421089, e_R_bar=8.081980
step=769117, D_t=92.371562, c_t=3.503509, e_P=0.740498, e_R=0.163136, e_P_bar=11.575567, e_R_bar=7.123860
step=774436, D_t=138.419907, c_t=3.016655, e_P=0.905532, e_R=0.116401, e_P_bar=15.797357, e_R_bar=5.223346
step=775678, D_t=17.687513, c_t=3.000030, e_P=0.463209, e_R=0.399633, e_P_bar=2.127669, e_R_bar=5.554102
step=777189, D_t=79.042645, c_t=3.209505, e_P=0.821944, e_R=0.374652, e_P_bar=9.311783, e_R_bar=8.448431
step=784751, D_t=51.086294, c_t=3.006479, e_P=0.642457, e_R=0.014066, e_P_bar=10.108046, e_R_bar=-0.410821
step=787101, D_t=9.798493, c_t=3.016124, e_P=0.307009, e_R=0.051837, e_P_bar=4.015009, e_R_bar=1.864587
step=804438, D_t=30.795756, c_t=3.222272, e_P=0.225381, e_R=0.288235, e_P_bar=2.202267, e_R_bar=7.532698
step=807987, D_t=129.571349, c_t=3.733420, e_P=0.232492, e_R=0.329830, e_P_bar=2.338144, e_R_bar=15.927203
step=813778, D_t=160.837131, c_t=3.249202, e_P=1.035650, e_R=0.020183, e_P_bar=17.935280, e_R_bar=-0.091182
step=817464, D_t=27.595820, c_t=3.140746, e_P=0.476266, e_R=0.107550, e_P_bar=6.040262, e_R_bar=4.325145
step=821021, D_t=33.392840, c_t=3.210728, e_P=0.142884, e_R=0.156055, e_P_bar=1.294810, e_R_bar=8.069024
step=825029, D_t=88.499005, c_t=3.447672, e_P=0.202304, e_R=0.241635, e_P_bar=2.289574, e_R_bar=13.105566
step=849157, D_t=17.901722, c_t=3.082985, e_P=0.403110, e_R=0.027063, e_P_bar=5.982194, e_R_bar=0.129617
step=850872, D_t=14.069091, c_t=3.024227, e_P=0.577084, e_R=0.146657, e_P_bar=4.808316, e_R_bar=2.240153
step=853475, D_t=279.128027, c_t=3.942939, e_P=0.423950, e_R=0.756122, e_P_bar=4.461424, e_R_bar=23.202408
step=856133, D_t=65.809986, c_t=3.506226, e_P=0.369508, e_R=0.541202, e_P_bar=3.080545, e_R_bar=11.051254
step=865020, D_t=13.980277, c_t=3.013029, e_P=0.221933, e_R=0.176101, e_P_bar=2.537196, e_R_bar=4.639309
step=869065, D_t=44.029544, c_t=3.023148, e_P=0.356502, e_R=0.171980, e_P_bar=4.923296, e_R_bar=7.988758
step=873208, D_t=267.582790, c_t=4.312371, e_P=1.532289, e_R=0.379644, e_P_bar=20.955515, e_R_bar=9.799590
step=876849, D_t=103.662786, c_t=3.109390, e_P=0.480299, e_R=0.540447, e_P_bar=4.476838, e_R_bar=13.685156
step=881232, D_t=174.625426, c_t=4.517879, e_P=0.420357, e_R=0.506865, e_P_bar=5.464208, e_R_bar=17.871577
step=885501, D_t=39.057705, c_t=3.058063, e_P=0.274705, e_R=0.369922, e_P_bar=2.660718, e_R_bar=8.428285
step=886777, D_t=73.347846, c_t=3.015856, e_P=1.021963, e_R=0.286544, e_P_bar=10.726705, e_R_bar=5.624366
step=890195, D_t=277.232526, c_t=4.199149, e_P=0.683041, e_R=0.622044, e_P_bar=7.876036, e_R_bar=22.190834
step=893425, D_t=43.435274, c_t=3.041830, e_P=0.701549, e_R=0.163379, e_P_bar=8.307666, e_R_bar=4.225308
step=898499, D_t=6.460428, c_t=3.002010, e_P=0.314008, e_R=0.028685, e_P_bar=3.591619, e_R_bar=0.145362
step=903456, D_t=139.786196, c_t=3.631799, e_P=1.000236, e_R=0.125886, e_P_bar=16.200642, e_R_bar=4.136615
step=909562, D_t=38.343571, c_t=3.104578, e_P=0.685898, e_R=0.029100, e_P_bar=8.757067, e_R_bar=0.030297
step=914401, D_t=31.038666, c_t=3.143710, e_P=0.473634, e_R=0.127608, e_P_bar=6.740304, e_R_bar=4.079906
step=919971, D_t=259.462060, c_t=4.428753, e_P=1.280427, e_R=0.060671, e_P_bar=22.732480, e_R_bar=1.469181
step=922190, D_t=131.018824, c_t=3.061457, e_P=0.978885, e_R=0.198380, e_P_bar=13.348100, e_R_bar=9.157831
step=923540, D_t=33.675774, c_t=3.061873, e_P=0.341441, e_R=0.261375, e_P_bar=2.385263, e_R_bar=7.852520
step=925969, D_t=13.808533, c_t=3.043401, e_P=0.177254, e_R=0.152066, e_P_bar=0.934710, e_R_bar=5.171401
step=927525, D_t=22.254121, c_t=3.007782, e_P=0.385493, e_R=0.220583, e_P_bar=3.170911, e_R_bar=5.869716
step=931889, D_t=32.282295, c_t=3.227336, e_P=0.462473, e_R=0.115821, e_P_bar=6.660058, e_R_bar=4.495356
step=935576, D_t=35.766354, c_t=3.293949, e_P=0.173756, e_R=0.208855, e_P_bar=1.388019, e_R_bar=8.343028
step=938273, D_t=34.051350, c_t=3.254197, e_P=0.188196, e_R=0.207755, e_P_bar=1.387981, e_R_bar=8.134876
step=943403, D_t=7.342731, c_t=3.016177, e_P=0.134487, e_R=0.112957, e_P_bar=0.724065, e_R_bar=3.763136
step=947809, D_t=33.459067, c_t=3.174925, e_P=0.292921, e_R=0.195668, e_P_bar=2.920951, e_R_bar=7.641085
step=956662, D_t=82.685190, c_t=3.326651, e_P=0.829126, e_R=0.022842, e_P_bar=12.859642, e_R_bar=-0.039256
step=958465, D_t=321.062025, c_t=5.540210, e_P=0.403999, e_R=0.781263, e_P_bar=3.665440, e_R_bar=25.073663
step=965129, D_t=123.410935, c_t=3.769133, e_P=0.987270, e_R=0.366466, e_P_bar=12.660059, e_R_bar=9.302944
step=976014, D_t=74.260805, c_t=3.180888, e_P=0.309548, e_R=0.292060, e_P_bar=3.960069, e_R_bar=11.525600
step=979404, D_t=19.984885, c_t=3.087079, e_P=0.454076, e_R=0.146119, e_P_bar=4.979137, e_R_bar=3.895890
step=982571, D_t=42.877620, c_t=3.162815, e_P=0.383136, e_R=0.258307, e_P_bar=4.320589, e_R_bar=8.190711
step=986251, D_t=56.774467, c_t=3.358384, e_P=1.010182, e_R=0.184689, e_P_bar=10.010151, e_R_bar=3.653193
step=989287, D_t=50.021315, c_t=3.290332, e_P=0.631624, e_R=0.247894, e_P_bar=6.905091, e_R_bar=7.236184
step=993669, D_t=32.324211, c_t=3.217710, e_P=0.641667, e_R=0.058784, e_P_bar=7.905776, e_R_bar=1.465309
step=995819, D_t=22.109728, c_t=3.136238, e_P=0.328811, e_R=0.197796, e_P_bar=3.480779, e_R_bar=5.666007
step=997887, D_t=117.601763, c_t=3.276191, e_P=0.569443, e_R=0.457159, e_P_bar=6.773090, e_R_bar=13.759680
step=1003241, D_t=294.853608, c_t=5.368855, e_P=0.417448, e_R=0.518918, e_P_bar=6.006603, e_R_bar=23.529300
step=1006394, D_t=78.311572, c_t=3.177165, e_P=0.303778, e_R=0.319438, e_P_bar=2.915020, e_R_bar=12.170694
step=1009473, D_t=42.321384, c_t=3.221275, e_P=0.694227, e_R=0.041226, e_P_bar=9.191776, e_R_bar=0.392459
step=1015036, D_t=52.590838, c_t=3.430329, e_P=0.709680, e_R=0.039670, e_P_bar=10.221106, e_R_bar=0.843014
step=1017929, D_t=34.255439, c_t=3.271426, e_P=0.520704, e_R=0.112645, e_P_bar=7.405933, e_R_bar=3.696354
step=1024052, D_t=84.104443, c_t=3.251429, e_P=0.827638, e_R=0.015992, e_P_bar=12.969537, e_R_bar=-0.252449
step=1026898, D_t=7.817945, c_t=3.019855, e_P=0.213541, e_R=0.137566, e_P_bar=1.646693, e_R_bar=3.595037
step=1029739, D_t=89.830836, c_t=3.205596, e_P=0.526179, e_R=0.237493, e_P_bar=6.936392, e_R_bar=11.469443
step=1032619, D_t=36.924453, c_t=3.249481, e_P=0.189828, e_R=0.271999, e_P_bar=1.488347, e_R_bar=8.463671
step=1038191, D_t=62.288113, c_t=3.263358, e_P=0.725765, e_R=0.014099, e_P_bar=11.161372, e_R_bar=-0.422984
step=1040748, D_t=96.700797, c_t=3.772890, e_P=0.930036, e_R=0.415654, e_P_bar=10.804258, e_R_bar=8.756118
step=1044518, D_t=102.375075, c_t=3.932765, e_P=0.293138, e_R=0.399440, e_P_bar=2.942263, e_R_bar=14.003329
step=1048306, D_t=53.893958, c_t=3.263111, e_P=0.770838, e_R=0.157310, e_P_bar=9.218776, e_R_bar=4.775153
step=1051108, D_t=26.256692, c_t=3.141550, e_P=0.205845, e_R=0.289466, e_P_bar=1.329575, e_R_bar=7.123596
step=1052932, D_t=58.174739, c_t=3.486057, e_P=0.353603, e_R=0.275310, e_P_bar=3.266433, e_R_bar=10.280073
step=1056045, D_t=51.475288, c_t=3.170497, e_P=0.402363, e_R=0.212789, e_P_bar=5.221355, e_R_bar=8.699887
step=1061013, D_t=253.858324, c_t=4.090686, e_P=1.323761, e_R=0.025855, e_P_bar=22.530275, e_R_bar=0.321465
step=1064013, D_t=45.211009, c_t=3.203713, e_P=0.683803, e_R=0.100379, e_P_bar=8.948426, e_R_bar=3.216781
step=1066374, D_t=37.754142, c_t=3.097295, e_P=0.283965, e_R=0.289237, e_P_bar=2.529125, e_R_bar=8.313351
step=1068716, D_t=208.363777, c_t=4.900713, e_P=0.299165, e_R=0.471788, e_P_bar=2.639057, e_R_bar=20.242602
step=1070843, D_t=27.722962, c_t=3.036261, e_P=0.344932, e_R=0.297828, e_P_bar=2.933797, e_R_bar=6.843885
step=1073768, D_t=106.334621, c_t=3.075757, e_P=0.682345, e_R=0.301586, e_P_bar=9.895529, e_R_bar=10.712038
step=1075880, D_t=58.847786, c_t=3.254741, e_P=0.409855, e_R=0.249009, e_P_bar=4.153157, e_R_bar=10.022318
step=1078750, D_t=204.696962, c_t=4.797846, e_P=0.727875, e_R=0.527412, e_P_bar=10.380768, e_R_bar=17.367602
step=1081191, D_t=38.252742, c_t=3.289599, e_P=0.757418, e_R=0.081519, e_P_bar=8.614956, e_R_bar=1.512618
step=1084236, D_t=36.076628, c_t=3.138311, e_P=0.194328, e_R=0.267926, e_P_bar=1.623222, e_R_bar=8.337770
step=1089039, D_t=16.209586, c_t=3.067027, e_P=0.117258, e_R=0.162858, e_P_bar=0.792091, e_R_bar=5.638418
step=1092057, D_t=50.650638, c_t=3.007178, e_P=0.220352, e_R=0.412517, e_P_bar=1.398763, e_R_bar=9.967183
step=1097082, D_t=41.145073, c_t=3.000893, e_P=0.629383, e_R=0.232639, e_P_bar=6.917986, e_R_bar=5.867846
step=1100244, D_t=104.149857, c_t=3.634998, e_P=0.584389, e_R=0.287898, e_P_bar=7.161978, e_R_bar=12.530195
step=1113734, D_t=225.300103, c_t=5.151527, e_P=0.669605, e_R=0.511748, e_P_bar=9.869313, e_R_bar=18.793532
step=1117058, D_t=92.765935, c_t=3.393511, e_P=1.113884, e_R=0.043071, e_P_bar=13.611076, e_R_bar=0.520085
step=1119167, D_t=18.285344, c_t=3.009890, e_P=0.202618, e_R=0.230620, e_P_bar=1.110800, e_R_bar=5.944477
step=1121373, D_t=18.519067, c_t=3.019657, e_P=0.121555, e_R=0.187314, e_P_bar=0.446496, e_R_bar=6.069496
step=1123594, D_t=75.176836, c_t=3.668730, e_P=0.148134, e_R=0.396424, e_P_bar=0.724856, e_R_bar=12.240435
step=1129759, D_t=150.394561, c_t=3.428625, e_P=0.797385, e_R=0.330060, e_P_bar=11.182580, e_R_bar=13.256659
step=1131598, D_t=55.144085, c_t=3.396702, e_P=0.448038, e_R=0.288304, e_P_bar=4.595285, e_R_bar=9.443067
step=1135300, D_t=6.407874, c_t=3.011709, e_P=0.342192, e_R=0.007785, e_P_bar=3.579909, e_R_bar=-0.680810
step=1141398, D_t=17.948117, c_t=3.091229, e_P=0.294562, e_R=0.129486, e_P_bar=4.001692, e_R_bar=4.459001
step=1145433, D_t=94.737289, c_t=3.350514, e_P=0.971643, e_R=0.011676, e_P_bar=13.764976, e_R_bar=-0.477556
step=1149229, D_t=19.632001, c_t=3.084176, e_P=0.546095, e_R=0.035831, e_P_bar=6.247703, e_R_bar=0.479799
step=1152091, D_t=60.484441, c_t=3.072386, e_P=0.168617, e_R=0.272301, e_P_bar=1.221306, e_R_bar=10.930567
step=1154811, D_t=38.968163, c_t=3.277199, e_P=0.602687, e_R=0.069786, e_P_bar=8.616968, e_R_bar=1.919424
step=1159273, D_t=20.840716, c_t=3.004514, e_P=0.352367, e_R=0.159001, e_P_bar=4.177607, e_R_bar=4.922300
step=1161059, D_t=21.806472, c_t=3.013521, e_P=0.213612, e_R=0.162049, e_P_bar=1.608160, e_R_bar=6.405214
step=1162638, D_t=33.295481, c_t=3.050024, e_P=0.255275, e_R=0.185396, e_P_bar=2.235797, e_R_bar=7.848068
step=1164579, D_t=59.456116, c_t=3.143674, e_P=0.686965, e_R=0.221014, e_P_bar=7.672079, e_R_bar=7.749286
step=1174357, D_t=143.936732, c_t=3.254249, e_P=0.736378, e_R=0.366923, e_P_bar=9.543327, e_R_bar=14.028484
step=1177202, D_t=151.376158, c_t=3.899494, e_P=0.491949, e_R=0.396925, e_P_bar=6.913109, e_R_bar=15.967506
step=1180486, D_t=41.612354, c_t=3.313039, e_P=0.403635, e_R=0.219186, e_P_bar=5.141634, e_R_bar=7.535802
