step,fast_slow_gap,fast_wins,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,warmup_remaining,predictor_nll
0,0.00000000,0,-187.57991028,-187.57991028,0.99977803,0.99977803,0.00544875,0.00544875,9999,191.55627950
100,17.48883820,1,-97.79672241,-115.28556061,1.51743102,1.45194602,0.21418425,0.24202779,9899,134.10005379
200,49.63798523,1,-110.37040710,-160.00839233,1.68256903,1.51756179,0.24216631,0.28752130,9799,137.96575546
300,48.28703308,1,-101.61997986,-149.90701294,1.35240972,1.20204747,0.09873851,0.11394309,9699,118.57719803
400,19.73553848,1,-44.45179367,-64.18733215,1.73789251,1.47971046,0.18784329,0.24800515,9599,47.78162003
500,98.29359436,1,-101.06086731,-199.35446167,1.67544985,1.40051508,0.14579757,0.20213446,9499,126.28696442
600,41.15615845,1,-52.89635468,-94.05251312,2.08151245,1.58763254,0.25955391,0.32427692,9399,66.18104362
700,29.56085205,1,-36.44864655,-66.00949860,4.49488926,2.31156421,0.34259045,0.50373685,9299,43.38277435
800,14.21562576,1,-30.60866165,-44.82428741,2.46505523,1.53304183,0.16261455,0.19843698,9199,31.59680462
900,32.44472504,1,-46.12052917,-78.56525421,1.88102770,1.28437662,0.09830725,0.09494288,9099,45.74545670
1000,6.36584091,1,-59.53630447,-65.90214539,1.05313385,1.02470016,0.00283170,0.00241153,8999,60.44878896
1100,26.56726074,1,-83.36448669,-109.93174744,1.16554880,1.05329001,0.01666459,0.01415363,8899,87.60491180
1200,9.81139755,1,-29.60248947,-39.41388702,5.07890987,2.13701367,0.21014799,0.24235463,8799,30.61154429
1300,25.79019547,1,-35.85886002,-61.64905548,4.15760899,1.80903244,0.24424431,0.27365249,8699,45.00259209
1400,36.20125198,1,-41.95064163,-78.15189362,4.40771723,1.97465897,0.27053070,0.25670004,8599,47.63385010
1500,4.07743073,1,-25.18848610,-29.26591682,6.90061378,2.44732094,0.23379214,0.25361675,8499,26.09555054
1600,2.89200783,1,-31.56463051,-34.45663834,37.62470627,12.54268074,0.76594579,0.80928743,8399,38.04967880
1700,22.51458740,1,-37.08233643,-59.59692383,20.03479767,4.22514534,0.38082421,0.36293757,8299,48.23302555
1800,9.76256371,1,-31.55036354,-41.31292725,35.49752808,8.12316418,0.54302895,0.61826324,8199,34.09250387
1900,17.90302849,1,-31.79152870,-49.69455719,10.75414848,3.39803696,0.18069856,0.20366858,8099,33.36334356
2000,17.79758453,1,-118.38387299,-136.18145752,1.12748063,1.07697523,0.00623552,0.00540026,7999,119.01652908
2100,3.01851273,1,-29.17496490,-32.19347763,24.72780609,6.91779280,0.33060184,0.37396130,7899,29.98180389
2200,5.44496918,1,-28.42929840,-33.87426758,6.21797991,3.02736282,0.15589191,0.16645114,7799,29.60202980
2300,9.34543991,1,-30.24283218,-39.58827209,17.92373466,6.13686228,0.23568647,0.26503175,7699,31.20637178
2400,8.74087524,1,-30.53691864,-39.27779388,2.37203646,1.59083188,0.03844162,0.04169551,7599,30.82671483
