step,fast_slow_gap,fast_wins,p0_hat,p1_hat,bernoulli_llr,cusum_W,detector_active,regime_change,p0_update_enabled,initial_warmup_remaining,calibration_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
0,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,9999,10000,-187.57991028,-187.57991028,0.99977803,0.99977803,0.00544875,0.00544875,191.55627950
100,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,9899,10000,-97.79672241,-97.79672241,1.51743102,1.51743102,0.21418425,0.21418425,134.10005379
200,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,9799,10000,-110.37040710,-110.37040710,1.68256903,1.68256903,0.24216631,0.24216631,137.96575546
300,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,9699,10000,-101.61997986,-101.61997986,1.35240972,1.35240972,0.09873851,0.09873851,118.57719803
400,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,9599,10000,-44.45179367,-44.45179367,1.73789251,1.73789251,0.18784329,0.18784329,47.78162003
500,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,9499,10000,-101.06086731,-101.06086731,1.67544985,1.67544985,0.14579757,0.14579757,126.28696442
600,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,9399,10000,-52.89635468,-52.89635468,2.08151245,2.08151245,0.25955391,0.25955391,66.18104362
700,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,9299,10000,-36.44864655,-36.44864655,4.49488926,4.49488926,0.34259045,0.34259045,43.38277435
800,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,9199,10000,-30.60866165,-30.60866165,2.46505523,2.46505523,0.16261455,0.16261455,31.59680462
900,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,9099,10000,-46.12052917,-46.12052917,1.88102770,1.88102770,0.09830725,0.09830725,45.74545670
1000,0.00000000,0,0.50000000,0.70000000,0.00000000,0.00000000,0,0,0,8999,10000,-59.53630447,-59.53630447,1.05313385,1.05313385,0.00283170,0.00283170,60.44878896
