block_end_step,block_win_rate,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,rearm_streak,rate_warmup_remaining
10099,0.95000000,0.95000000,0.95000000,0.00000000,0,0,0,0,19
10199,0.98000000,0.95600000,0.95030000,0.00570000,0,0,0,0,18
10299,0.99000000,0.96280000,0.95069700,0.01210300,0,0,0,0,17
10399,0.23000000,0.81624000,0.94349003,-0.12725003,0,0,0,0,16
10499,0.45000000,0.74299200,0.93855513,-0.19556313,0,0,0,0,15
10599,0.46000000,0.68639360,0.93376958,-0.24737598,0,0,0,0,14
10699,0.71000000,0.69111488,0.93153188,-0.24041700,0,0,0,0,13
10799,0.55000000,0.66289190,0.92771656,-0.26482466,0,0,0,0,12
10899,0.74000000,0.67831352,0.92583940,-0.24752587,0,0,0,0,11
10999,0.76000000,0.69465082,0.92418100,-0.22953019,0,0,0,0,10
11099,0.86000000,0.72772065,0.92353919,-0.19581854,0,0,0,0,9
11199,0.75000000,0.73217652,0.92180380,-0.18962728,0,0,0,0,8
11299,0.75000000,0.73574122,0.92008576,-0.18434455,0,0,0,0,7
11399,0.68000000,0.72459298,0.91768491,-0.19309193,0,0,0,0,6
11499,0.64000000,0.70767438,0.91490806,-0.20723368,0,0,0,0,5
11599,0.70000000,0.70613950,0.91275898,-0.20661947,0,0,0,0,4
11699,0.91000000,0.74691160,0.91273139,-0.16581978,0,0,0,0,3
11799,0.87000000,0.77152928,0.91230407,-0.14077479,0,0,0,0,2
11899,0.84000000,0.78522343,0.91158103,-0.12635761,0,0,0,0,1
11999,0.91000000,0.81017874,0.91156522,-0.10138648,1,0,0,0,0
12099,0.53000000,0.75414299,0.90774957,-0.15360658,1,0,0,0,0
12199,0.88000000,0.77931439,0.90747207,-0.12815768,1,0,0,0,0
12299,0.92000000,0.80745152,0.90759735,-0.10014584,1,0,0,0,0
12399,0.90000000,0.82596121,0.90752138,-0.08156017,1,0,0,0,0
12499,0.85000000,0.83076897,0.90694617,-0.07617720,1,0,0,0,0
12599,0.94000000,0.85261518,0.90727670,-0.05466153,1,0,0,0,0
12699,0.95000000,0.87209214,0.90770394,-0.03561180,1,0,0,0,0
12799,0.91000000,0.87967371,0.90772690,-0.02805319,1,0,0,0,0
12899,0.93000000,0.88973897,0.90794963,-0.01821066,1,0,0,0,0
12999,0.81000000,0.87379118,0.90697013,-0.03317896,1,0,0,0,0
13099,0.65000000,0.82903294,0.90440043,-0.07536749,1,0,0,0,0
13199,0.98000000,0.85922635,0.90515643,-0.04593007,1,0,0,0,0
13299,0.98000000,0.88338108,0.90590486,-0.02252378,1,0,0,0,0
13399,0.86000000,0.87870487,0.90544581,-0.02674095,1,0,0,0,0
13499,0.31000000,0.76496389,0.89949136,-0.13452746,1,0,0,0,0
13599,0.50000000,0.71197111,0.89549644,-0.18352533,1,0,0,0,0
13699,0.77000000,0.72357689,0.89424148,-0.17066459,1,0,0,0,0
13799,0.73000000,0.72486151,0.89259906,-0.16773755,1,0,0,0,0
13899,0.87000000,0.75388921,0.89237307,-0.13848386,1,0,0,0,0
13999,0.88000000,0.77911137,0.89224934,-0.11313797,1,0,0,0,0
14099,0.72000000,0.76728909,0.89052685,-0.12323775,1,0,0,0,0
14199,0.59000000,0.73183128,0.88752158,-0.15569030,1,0,0,0,0
14299,0.64000000,0.71346502,0.88504636,-0.17158134,1,0,0,0,0
14399,0.72000000,0.71477202,0.88339590,-0.16862388,1,0,0,0,0
14499,0.82000000,0.73581761,0.88276194,-0.14694433,1,0,0,0,0
14599,0.96000000,0.78065409,0.88353432,-0.10288023,1,0,0,0,0
14699,0.83000000,0.79052327,0.88299898,-0.09247571,1,0,0,0,0
14799,0.93000000,0.81841862,0.88346899,-0.06505037,1,0,0,0,0
14899,0.89000000,0.83273489,0.88353430,-0.05079940,1,0,0,0,0
14999,0.86000000,0.83818792,0.88329896,-0.04511104,1,0,0,0,0
15099,0.61000000,0.79255033,0.88056597,-0.08801563,1,0,0,0,0
15199,0.99000000,0.83204027,0.88166031,-0.04962004,1,0,0,0,0
15299,0.99000000,0.86363221,0.88274370,-0.01911149,1,0,0,0,0
15399,0.99000000,0.88890577,0.88381627,0.00508950,1,0,0,0,0
15499,0.91000000,0.89312462,0.88407810,0.00904651,1,0,0,0,0
15599,1.00000000,0.91449969,0.88523732,0.02926237,1,0,0,0,0
15699,0.98000000,0.92759975,0.88618495,0.04141480,1,0,0,0,0
15799,0.97000000,0.93607980,0.88702310,0.04905670,1,0,0,0,0
15899,0.93000000,0.93486384,0.88745287,0.04741097,1,0,0,0,0
15999,0.88000000,0.92389107,0.88737834,0.03651273,1,0,0,0,0
16099,0.65000000,0.86911286,0.88500456,-0.01589170,1,0,0,0,0
16199,0.76000000,0.84729029,0.88375451,-0.03646422,1,0,0,0,0
16299,0.87000000,0.85183223,0.88361697,-0.03178474,1,0,0,0,0
16399,0.80000000,0.84146578,0.88278080,-0.04131501,1,0,0,0,0
16499,0.91000000,0.85517263,0.88305299,-0.02788036,1,0,0,0,0
16599,0.87000000,0.85813810,0.88292246,-0.02478436,1,0,0,0,0
16699,0.74000000,0.83451048,0.88149323,-0.04698275,1,0,0,0,0
16799,0.75000000,0.81760839,0.88017830,-0.06256992,1,0,0,0,0
16899,0.87000000,0.82808671,0.88007652,-0.05198981,1,0,0,0,0
16999,0.81000000,0.82446937,0.87937575,-0.05490639,1,0,0,0,0
17099,0.54000000,0.76757549,0.87598200,-0.10840650,1,0,0,0,0
17199,0.96000000,0.80606039,0.87682218,-0.07076178,1,0,0,0,0
17299,0.97000000,0.83884832,0.87775395,-0.03890564,1,0,0,0,0
17399,0.71000000,0.81307865,0.87607642,-0.06299776,1,0,0,0,0
17499,0.84000000,0.81846292,0.87571565,-0.05725273,1,0,0,0,0
17599,0.67000000,0.78877034,0.87365849,-0.08488816,1,0,0,0,0
