block_end_step,block_valid,block_win_rate,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining
10099,0,1.00000000,0.01504489,1.50448948,nan,nan,nan,0,0,0,0,0,0,20
10199,0,1.00000000,0.06656477,6.65647705,nan,nan,nan,0,0,0,0,0,0,20
10299,0,0.98525785,0.12295987,12.29598745,nan,nan,nan,0,0,0,0,0,0,20
10399,0,0.21002907,0.10355837,10.35583688,nan,nan,nan,0,0,0,0,0,0,20
10499,0,0.36480645,0.12724391,12.72439119,nan,nan,nan,0,0,0,0,0,0,20
10599,0,0.50303926,0.19462045,19.46204543,nan,nan,nan,0,0,0,0,0,0,20
10699,0,0.72791524,0.23720683,23.72068282,nan,nan,nan,0,0,0,0,0,0,20
10799,1,0.59602145,0.33141914,33.14191392,0.59602145,0.59602145,0.00000000,0,0,0,0,0,0,19
10899,1,0.77686032,0.42127514,42.12751400,0.63218922,0.59782983,0.03435939,0,0,0,0,0,0,18
10999,1,0.75478190,0.40584050,40.58405046,0.65670776,0.59939936,0.05730840,0,0,0,0,0,0,17
11099,1,0.89207433,0.43736394,43.73639384,0.70378107,0.60232611,0.10145497,0,0,0,0,0,0,16
11199,1,0.73344128,0.38866306,38.86630608,0.70971312,0.60363726,0.10607586,0,0,0,0,0,0,15
11299,1,0.75330534,0.52251279,52.25127863,0.71843156,0.60513394,0.11329762,0,0,0,0,0,0,14
11399,1,0.75734847,0.51473361,51.47336123,0.72621494,0.60665608,0.11955886,0,0,0,0,0,0,13
11499,1,0.67463135,0.49386920,49.38691990,0.71589822,0.60733584,0.10856239,0,0,0,0,0,0,12
11599,1,0.71117662,0.60700952,60.70095179,0.71495390,0.60837424,0.10657966,0,0,0,0,0,0,11
11699,1,0.92353616,0.64544454,64.54445387,0.75667036,0.61152586,0.14514449,0,0,0,0,0,0,10
11799,1,0.89148672,0.65707354,65.70735405,0.78363363,0.61432547,0.16930816,0,0,0,0,0,0,9
11899,1,0.88971647,0.68356903,68.35690325,0.80485020,0.61707938,0.18777081,0,0,0,0,0,0,8
11999,1,0.93152657,0.70744220,70.74422042,0.83018547,0.62022385,0.20996162,0,0,0,0,0,0,7
12099,1,0.57880841,0.62279658,62.27965774,0.77991006,0.61980970,0.16010036,0,0,0,0,0,0,6
12199,1,0.89298635,0.74564313,74.56431299,0.80252532,0.62254147,0.17998385,0,0,0,0,0,0,5
12299,1,0.94207868,0.77825580,77.82557985,0.83043599,0.62573684,0.20469915,0,0,0,0,0,0,4
12399,1,0.91130356,0.75739213,75.73921337,0.84660950,0.62859250,0.21801700,0,0,0,0,0,0,3
12499,1,0.87832970,0.78569474,78.56947376,0.85295354,0.63108988,0.22186367,0,0,0,0,0,0,2
12599,1,0.95227642,0.82492426,82.49242644,0.87281812,0.63430174,0.23851638,0,0,0,0,0,0,1
12699,1,0.95428097,0.84230084,84.23008427,0.88911069,0.63750153,0.25160915,0,0,0,0,0,0,0
12799,1,0.91525393,0.84445139,84.44513935,0.89433934,0.64027906,0.25406028,0,0,0,0,0,0,0
12899,1,0.93772366,0.85581270,85.58127020,0.90301620,0.64325350,0.25976270,0,0,0,0,0,0,0
12999,1,0.81410411,0.80317328,80.31732832,0.88523378,0.64496201,0.24027177,0,0,0,0,0,0,0
13099,1,0.64967498,0.62013125,62.01312505,0.83812202,0.64500914,0.19311288,0,0,0,0,0,0,0
13199,1,0.97592596,0.74370187,74.37018732,0.86568281,0.64831831,0.21736450,0,0,0,0,0,0,0
13299,1,0.97967333,0.70361942,70.36194239,0.88848091,0.65163186,0.23684905,0,0,0,0,0,0,0
