block_end_step,block_valid,block_win_rate,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining
10099,0,1.00000000,0.01495434,1.49543356,nan,nan,nan,0,0,0,0,0,0,20
10199,0,1.00000000,0.05107159,5.10715917,nan,nan,nan,0,0,0,0,0,0,20
10299,0,0.98883703,0.08524847,8.52484678,nan,nan,nan,0,0,0,0,0,0,20
10399,0,0.25669755,0.14397066,14.39706634,nan,nan,nan,0,0,0,0,0,0,20
10499,0,0.44754416,0.16348570,16.34856975,nan,nan,nan,0,0,0,0,0,0,20
10599,0,0.53716738,0.20197086,20.19708589,nan,nan,nan,0,0,0,0,0,0,20
10699,0,0.69181979,0.22050788,22.05078778,nan,nan,nan,0,0,0,0,0,0,20
10799,1,0.58965797,0.32073466,32.07346583,0.58965797,0.58965797,0.00000000,0,0,0,0,0,0,19
10899,1,0.76379165,0.36904475,36.90447467,0.62448471,0.59139931,0.03308540,0,0,0,0,0,0,18
10999,1,0.71136889,0.37205572,37.20557217,0.64186154,0.59259900,0.04926254,0,0,0,0,0,0,17
11099,1,0.87049571,0.39896221,39.89622147,0.68758838,0.59537797,0.09221041,0,0,0,0,0,0,16
11199,1,0.76024741,0.34280685,34.28068508,0.70212018,0.59702666,0.10509352,0,0,0,0,0,0,15
11299,1,0.73742029,0.43801506,43.80150585,0.70918020,0.59843060,0.11074960,0,0,0,0,0,0,14
11399,1,0.69535533,0.46887682,46.88768248,0.70641523,0.59939985,0.10701538,0,0,0,0,0,0,13
11499,1,0.65260252,0.47197110,47.19711006,0.69565269,0.59993187,0.09572081,0,0,0,0,0,0,12
11599,1,0.69757412,0.52247978,52.24797756,0.69603697,0.60090830,0.09512868,0,0,0,0,0,0,11
11699,1,0.90967169,0.57368817,57.36881706,0.73876392,0.60399593,0.13476799,0,0,0,0,0,0,10
11799,1,0.87438835,0.59007647,59.00764690,0.76588880,0.60669985,0.15918895,0,0,0,0,0,0,9
11899,1,0.85282722,0.61913924,61.91392426,0.78327649,0.60916113,0.17411536,0,0,0,0,0,0,8
11999,1,0.92583510,0.65039014,65.03901389,0.81178821,0.61232787,0.19946034,0,0,0,0,0,0,7
12099,1,0.60217645,0.56120821,56.12082120,0.76986586,0.61222635,0.15763950,0,0,0,0,0,0,6
12199,1,0.90623459,0.72220704,72.22070448,0.79713960,0.61516644,0.18197317,0,0,0,0,0,0,5
12299,1,0.92159066,0.71646243,71.64624308,0.82202981,0.61823068,0.20379914,0,0,0,0,0,0,4
12399,1,0.90825612,0.68995713,68.99571274,0.83927508,0.62113093,0.21814414,0,0,0,0,0,0,3
12499,1,0.88051076,0.72638833,72.63883256,0.84752221,0.62372473,0.22379748,0,0,0,0,0,0,2
12599,1,0.95312521,0.76686963,76.68696311,0.86864281,0.62701874,0.24162408,0,0,0,0,0,0,1
12699,1,0.95137902,0.79160615,79.16061475,0.88519005,0.63026234,0.25492771,0,0,0,0,0,0,0
12799,1,0.91886359,0.77538606,77.53860591,0.89192476,0.63314835,0.25877641,0,0,0,0,0,0,0
12899,1,0.93171954,0.77524839,77.52483917,0.89988372,0.63613406,0.26374965,0,0,0,0,0,0,0
12999,1,0.82053955,0.72544018,72.54401784,0.88401488,0.63797812,0.24603677,0,0,0,0,0,0,0
13099,1,0.62766674,0.60478342,60.47834220,0.83274525,0.63787500,0.19487025,0,0,0,0,0,0,0
13199,1,0.98465788,0.76282748,76.28274848,0.86312778,0.64134283,0.22178495,0,0,0,0,0,0,0
