block_end_step,block_valid,block_evidence,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,adaptation_active,adaptation_remaining
10099,0,0.00681461,0.01495434,1.49543356,nan,nan,nan,0,0,0,0,0,0,20,0,0
10199,0,0.00663040,0.05107159,5.10715917,nan,nan,nan,0,0,0,0,0,0,20,0,0
10299,0,0.02966526,0.08524847,8.52484678,nan,nan,nan,0,0,0,0,0,0,20,0,0
10399,0,0.00077871,0.14397066,14.39706634,nan,nan,nan,0,0,0,0,0,0,20,0,0
10499,0,0.00198465,0.16348570,16.34856975,nan,nan,nan,0,0,0,0,0,0,20,0,0
10599,0,0.00000000,0.20197086,20.19708589,nan,nan,nan,0,0,0,0,0,0,20,0,0
10699,0,0.00108471,0.22050788,22.05078778,nan,nan,nan,0,0,0,0,0,0,20,0,0
10799,1,0.00465174,0.32073466,32.07346583,0.00465174,0.00465174,0.00000000,0,0,0,0,0,0,19,0,0
10899,1,0.00000000,0.36904475,36.90447467,0.00372139,0.00460522,-0.00088383,0,0,0,0,0,0,18,0,0
10999,1,0.00000000,0.37205572,37.20557217,0.00297711,0.00455917,-0.00158206,0,0,0,0,0,0,17,0,0
11099,1,0.00000000,0.39896221,39.89622147,0.00238169,0.00451358,-0.00213189,0,0,0,0,0,0,16,0,0
11199,1,0.00132716,0.34280685,34.28068508,0.00217078,0.00448171,-0.00231093,0,0,0,0,0,0,15,0,0
11299,1,0.00009275,0.43801506,43.80150585,0.00175518,0.00443782,-0.00268265,0,0,0,0,0,0,14,0,0
11399,1,0.00000000,0.46887682,46.88768248,0.00140414,0.00439344,-0.00298930,0,0,0,0,0,0,13,0,0
11499,1,0.00000000,0.47197110,47.19711006,0.00112331,0.00434951,-0.00322620,0,0,0,0,0,0,12,0,0
11599,1,0.00000000,0.52247978,52.24797756,0.00089865,0.00430602,-0.00340736,0,0,0,0,0,0,11,0,0
11699,1,0.00000000,0.57368817,57.36881706,0.00071892,0.00426296,-0.00354403,0,0,0,0,0,0,10,0,0
11799,1,0.00011792,0.59007647,59.00764690,0.00059872,0.00422150,-0.00362278,0,0,0,0,0,0,9,0,0
