block_end_step,detector_epoch,block_valid,block_win_rate,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining
10099,0,0,1.00000000,0.01495434,1.49543356,nan,nan,nan,0,0,0,0,0,0,20
10199,0,0,1.00000000,0.05107159,5.10715917,nan,nan,nan,0,0,0,0,0,0,20
10299,0,0,1.00000000,0.08524847,8.52484678,nan,nan,nan,0,0,0,0,0,0,20
10399,0,0,0.21164237,0.14397066,14.39706634,nan,nan,nan,0,0,0,0,0,0,20
10499,0,0,0.34113466,0.16348570,16.34856975,nan,nan,nan,0,0,0,0,0,0,20
10599,0,0,0.55489606,0.20197086,20.19708589,nan,nan,nan,0,0,0,0,0,0,20
10699,0,0,0.68182495,0.22050788,22.05078778,nan,nan,nan,0,0,0,0,0,0,20
10799,0,1,0.55130732,0.32073466,32.07346583,0.55130732,0.55130732,0.00000000,0,0,0,0,0,0,19
10899,0,1,0.75100289,0.36904475,36.90447467,0.59124644,0.55330428,0.03794216,0,0,0,0,0,0,18
10999,0,1,0.77309313,0.37205572,37.20557217,0.62761577,0.55550216,0.07211361,0,0,0,0,0,0,17
11099,0,1,0.89836286,0.39896221,39.89622147,0.68176519,0.55893077,0.12283442,0,0,0,0,0,0,16
11199,0,1,0.87565097,0.34280685,34.28068508,0.72054235,0.56209797,0.15844437,0,0,0,0,0,0,15
11299,0,1,0.80381343,0.43801506,43.80150585,0.73719656,0.56451513,0.17268144,0,0,0,0,0,0,14
11399,0,1,0.76088047,0.46887682,46.88768248,0.74193334,0.56647878,0.17545456,0,0,0,0,0,0,13
11499,0,1,0.75320931,0.47197110,47.19711006,0.74418854,0.56834609,0.17584245,0,0,0,0,0,0,12
11599,0,1,0.80824984,0.52247978,52.24797756,0.75700080,0.57074512,0.18625567,0,0,0,0,0,0,11
11699,0,1,0.90332191,0.57368817,57.36881706,0.78626502,0.57407089,0.21219413,0,0,0,0,0,0,10
11799,0,1,0.93147343,0.59007647,59.00764690,0.81530670,0.57764492,0.23766178,0,0,0,0,0,0,9
11899,0,1,0.88577707,0.61913924,61.91392426,0.82940078,0.58072624,0.24867454,0,0,0,0,0,0,8
11999,0,1,0.96420647,0.65039014,65.03901389,0.85636191,0.58456104,0.27180087,0,0,0,0,0,0,7
12099,0,1,0.75533084,0.56120821,56.12082120,0.83615570,0.58626874,0.24988696,0,0,0,0,0,0,6
12199,0,1,0.96136120,0.72220704,72.22070448,0.86119680,0.59001966,0.27117713,0,0,0,0,0,0,5
12299,0,1,0.92890991,0.71646243,71.64624308,0.87473942,0.59340857,0.28133085,0,0,0,0,0,0,4
12399,0,1,0.92241003,0.68995713,68.99571274,0.88427354,0.59669858,0.28757496,0,0,0,0,0,0,3
12499,0,1,0.94599140,0.72638833,72.63883256,0.89661711,0.60019151,0.29642560,0,0,0,0,0,0,2
12599,0,1,0.96330731,0.76686963,76.68696311,0.90995515,0.60382267,0.30613249,0,0,0,0,0,0,1
12699,0,1,0.93452394,0.79160615,79.16061475,0.91486891,0.60712968,0.30773923,0,0,0,0,0,0,0
12799,0,1,0.95474238,0.77538606,77.53860591,0.92284361,0.61060581,0.31223780,0,0,0,0,0,0,0
12899,0,1,0.95654199,0.77524839,77.52483917,0.92958328,0.61406517,0.31551811,0,0,0,0,0,0,0
12999,0,1,0.88607455,0.72544018,72.54401784,0.92088154,0.61678526,0.30409627,0,0,0,0,0,0,0
13099,0,1,0.69213615,0.60478342,60.47834220,0.87513246,0.61753877,0.25759369,0,0,0,0,0,0,0
13199,0,1,0.99052015,0.76282748,76.28274848,0.89821000,0.62126859,0.27694141,0,0,0,0,0,0,0
13299,0,1,1.00000000,0.70188392,70.18839207,0.91856800,0.62505590,0.29351210,0,0,0,0,0,0,0
13399,0,1,0.89133627,0.69182298,69.18229825,0.91312165,0.62771870,0.28540295,0,0,0,0,0,0,0
13499,0,1,0.21839109,0.80691955,80.69195504,0.77417554,0.62362543,0.15055011,0,0,0,0,0,0,0
13599,0,1,0.62967231,0.88021596,88.02159584,0.74527489,0.62368590,0.12158900,0,0,0,0,0,0,0
13699,0,1,0.86497975,0.84921480,84.92147990,0.76921587,0.62609883,0.14311703,0,0,0,0,0,0,0
13799,0,1,0.84396691,0.84374158,84.37415780,0.78416607,0.62827752,0.15588856,0,0,0,0,0,0,0
13899,0,1,0.91013797,0.84237410,84.23741017,0.80936045,0.63109612,0.17826433,0,0,0,0,0,0,0
13999,0,1,0.92115260,0.89629764,89.62976403,0.83171888,0.63399668,0.19772220,0,0,0,0,0,0,0
14099,0,1,0.77609431,0.72053609,72.05360894,0.82059397,0.63541766,0.18517631,0,0,0,0,0,0,0
14199,0,1,0.76762066,0.80699818,80.69981809,0.80999931,0.63673969,0.17325962,0,0,0,0,0,0,0
14299,0,1,0.73296119,0.86209638,86.20963843,0.79459168,0.63770191,0.15688978,0,0,0,0,0,0,0
14399,0,1,0.81714694,0.83294781,83.29478074,0.79910273,0.63949636,0.15960638,0,0,0,0,0,0,0
14499,0,1,0.92636847,0.86616494,86.61649377,0.82455588,0.64236508,0.18219080,0,0,0,0,0,0,0
14599,0,1,0.93125432,0.87385810,87.38581010,0.84589557,0.64525397,0.20064160,0,0,0,0,0,0,0
14699,0,1,0.87940886,0.87970082,87.97008228,0.85259823,0.64759552,0.20500271,0,0,0,0,0,0,0
14799,0,1,0.93843808,0.88741449,88.74144895,0.86976620,0.65050394,0.21926225,0,0,0,0,0,0,0
14899,0,1,0.92159729,0.89622893,89.62289337,0.88013242,0.65321488,0.22691754,0,0,0,0,0,0,0
14999,0,1,0.90185411,0.93340411,93.34041085,0.88447676,0.65570127,0.22877549,0,0,0,0,0,0,0
15099,0,1,0.53913057,0.73676275,73.67627474,0.81540752,0.65453556,0.16087196,0,0,0,0,0,0,0
15199,0,1,0.97015440,0.77193261,77.19326094,0.84635689,0.65769175,0.18866514,0,0,0,0,0,0,0
15299,0,1,0.99882900,0.81266172,81.26617153,0.87685132,0.66110312,0.21574819,0,0,0,0,0,0,0
15399,0,1,1.00000000,0.83453019,83.45301872,0.90148105,0.66449209,0.23698896,0,0,0,0,0,0,0
15499,0,1,1.00000000,0.76189724,76.18972379,0.92118484,0.66784717,0.25333767,0,0,0,0,0,0,0
15599,0,1,1.00000000,0.88013368,88.01336809,0.93694787,0.67116870,0.26577917,0,0,0,0,0,0,0
15699,0,1,1.00000000,0.93677695,93.67769510,0.94955830,0.67445701,0.27510129,0,0,0,0,0,0,0
15799,0,1,0.98468272,0.90917658,90.91765837,0.95658318,0.67755927,0.27902391,0,0,0,0,0,0,0
15899,0,1,0.98006016,0.88855968,88.85596845,0.96127858,0.68058428,0.28069430,0,0,0,0,0,0,0
15999,0,1,0.70384030,0.85051737,85.05173662,0.90979092,0.68081684,0.22897408,0,0,0,0,0,0,0
16099,0,1,0.91654898,0.82409101,82.40910125,0.91114253,0.68317416,0.22796837,0,0,0,0,0,0,0
16199,0,1,0.54268913,0.91457781,91.45778147,0.83745185,0.68176931,0.15568254,0,0,0,0,0,0,0
16299,0,1,0.92038912,0.94828263,94.82826258,0.85403931,0.68415551,0.16988380,0,0,0,0,0,0,0
16399,0,1,0.93290245,0.89302310,89.30231022,0.86981193,0.68664298,0.18316896,0,0,0,0,0,0,0
16499,0,1,0.97854680,0.88425268,88.42526836,0.89155891,0.68956202,0.20199689,0,0,0,0,0,0,0
16599,0,1,0.91061315,0.90565560,90.56556047,0.89536976,0.69177253,0.20359723,0,0,0,0,0,0,0
16699,0,1,0.81211080,0.91404865,91.40486502,0.87871796,0.69297591,0.18574205,0,0,0,0,0,0,0
16799,0,1,0.91344093,0.96159667,96.15966742,0.88566256,0.69518056,0.19048200,0,0,0,0,0,0,0
16899,0,1,0.97120985,0.97104489,97.10448942,0.90277202,0.69794085,0.20483116,0,0,0,0,0,0,0
16999,0,1,0.91295016,0.92515880,92.51588002,0.90480765,0.70009095,0.20471670,0,0,0,0,0,0,0
17099,0,1,0.38985393,0.91658750,91.65874974,0.80181690,0.69698858,0.10482833,0,0,0,0,0,0,0
17199,0,1,0.92580361,0.87543873,87.54387251,0.82661424,0.69927673,0.12733752,0,0,0,0,0,0,0
17299,0,1,0.94553977,0.84189619,84.18961940,0.85039935,0.70173936,0.14865999,0,0,0,0,0,0,0
17399,0,1,0.81014805,0.91568920,91.56891998,0.84234909,0.70282344,0.13952565,0,0,0,0,0,0,0
17499,0,1,0.82539026,0.96359011,96.35901067,0.83895732,0.70404911,0.13490821,0,0,0,0,0,0,0
17599,0,1,0.78119774,0.93578889,93.57888863,0.82740541,0.70482060,0.12258481,0,0,0,0,0,0,0
17699,0,1,0.95095035,0.93578536,93.57853623,0.85211440,0.70728190,0.14483250,0,0,0,0,0,0,0
17799,0,1,0.98011380,0.96795829,96.79582897,0.87771428,0.71001021,0.16770406,0,0,0,0,0,0,0
17899,0,1,0.98960763,0.94629745,94.62974527,0.90009295,0.71280619,0.18728676,0,0,0,0,0,0,0
17999,0,1,0.97962038,0.96842593,96.84259341,0.91599843,0.71547433,0.20052410,0,0,0,0,0,0,0
18099,0,1,0.32743903,0.95798147,95.79814683,0.79828655,0.71159398,0.08669258,0,0,0,0,0,0,0
18199,0,1,0.78008855,0.85712352,85.71235191,0.79464695,0.71227892,0.08236803,0,0,0,0,0,0,0
18299,0,1,0.98950576,0.90047200,90.04720039,0.83361871,0.71505119,0.11856752,0,0,0,0,0,0,0
18399,0,1,0.96958974,0.92049212,92.04921205,0.86081292,0.71759658,0.14321634,0,0,0,0,0,0,0
18499,0,1,0.97899375,0.90085260,90.08526019,0.88444909,0.72021055,0.16423854,0,0,0,0,0,0,0
18599,0,1,0.98889450,0.89880083,89.88008348,0.90533817,0.72289739,0.18244078,0,0,0,0,0,0,0
18699,0,1,1.00000000,0.90156590,90.15658960,0.92427053,0.72566841,0.19860212,0,0,0,0,0,0,0
18799,0,1,1.00000000,0.93209544,93.20954438,0.93941643,0.72841173,0.21100470,0,0,0,0,0,0,0
18899,0,1,1.00000000,0.94267162,94.26716241,0.95153314,0.73112761,0.22040553,0,0,0,0,0,0,0
18999,0,1,0.98576240,0.93105081,93.10508141,0.95837899,0.73367396,0.22470503,0,0,0,0,0,0,0
19099,0,1,0.98983575,0.91772056,91.77205628,0.96467034,0.73623558,0.22843476,0,0,0,0,0,0,0
19199,0,1,0.98952544,0.95404892,95.40489196,0.96964136,0.73876848,0.23087288,0,0,0,0,0,0,0
19299,0,1,0.92056246,0.94410073,94.41007263,0.95982558,0.74058642,0.21923917,0,0,0,0,0,0,0
19399,0,1,0.95039097,0.92898569,92.89856920,0.95793866,0.74268446,0.21525420,0,0,0,0,0,0,0
19499,0,1,0.99236475,0.95277637,95.27763684,0.96482388,0.74518127,0.21964261,0,0,0,0,0,0,0
