step,detector_epoch,fast_slow_gap,fast_wins,state_action_pseudo_count,state_action_familiarity_weight,familiarity_ready,familiarity_warmup_remaining,block_completed,block_valid,block_win_rate,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,initial_warmup_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
0,0,0.00000000,0,0,0.00000000,0,9999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9999,-187.57991028,-187.57991028,0.99977803,0.99977803,0.00544875,0.00544875,191.55627950
100,0,0.00000000,0,0,0.00000000,0,9899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9899,-106.65008545,-106.65008545,1.47854066,1.47854066,0.22689779,0.22689779,150.82043457
200,0,0.00000000,0,0,0.00000000,0,9799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9799,-135.01179504,-135.01179504,1.56870592,1.56870592,0.25812423,0.25812423,173.79735947
300,0,0.00000000,0,0,0.00000000,0,9699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9699,-125.55796051,-125.55796051,1.25303018,1.25303018,0.10260714,0.10260714,145.19358826
400,0,0.00000000,0,0,0.00000000,0,9599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9599,-54.84527588,-54.84527588,1.54113030,1.54113030,0.21262020,0.21262020,63.92807198
500,0,0.00000000,0,0,0.00000000,0,9499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9499,-152.65354919,-152.65354919,1.45240700,1.45240700,0.16911921,0.16911921,194.65382894
600,0,0.00000000,0,0,0.00000000,0,9399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9399,-75.65244293,-75.65244293,1.65417755,1.65417755,0.28429481,0.28429481,101.96334457
700,0,0.00000000,0,0,0.00000000,0,9299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9299,-50.89759064,-50.89759064,2.65436983,2.65436983,0.40714535,0.40714535,73.67059135
800,0,0.00000000,0,0,0.00000000,0,9199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9199,-38.27148819,-38.27148819,1.74375761,1.74375761,0.17897399,0.17897399,42.20461273
900,0,0.00000000,0,0,0.00000000,0,9099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9099,-65.75567627,-65.75567627,1.40926254,1.40926254,0.09028793,0.09028793,64.64425087
1000,0,0.00000000,0,0,0.00000000,0,8999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8999,-63.94318771,-63.94318771,1.03659368,1.03659368,0.00247414,0.00247414,65.03492483
1100,0,0.00000000,0,0,0.00000000,0,8899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8899,-102.48001862,-102.48001862,1.08207643,1.08207643,0.01482633,0.01482633,107.53734589
1200,0,0.00000000,0,0,0.00000000,0,8799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8799,-35.84617615,-35.84617615,2.56513453,2.56513453,0.23942763,0.23942763,38.83928426
1300,0,0.00000000,0,0,0.00000000,0,8699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8699,-54.48102570,-54.48102570,2.09283400,2.09283400,0.26345479,0.26345479,92.40432739
1400,0,0.00000000,0,0,0.00000000,0,8599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8599,-67.54018402,-67.54018402,2.23745084,2.23745084,0.25578356,0.25578356,81.80961132
1500,0,0.00000000,0,0,0.00000000,0,8499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8499,-28.01384354,-28.01384354,2.83479977,2.83479977,0.24546912,0.24546912,32.21147919
1600,0,0.00000000,0,0,0.00000000,0,8399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8399,-33.72550583,-33.72550583,16.79223633,16.79223633,0.78951120,0.78951120,41.58912754
1700,0,0.00000000,0,0,0.00000000,0,8299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8299,-51.18734741,-51.18734741,5.50914383,5.50914383,0.38936678,0.38936678,91.20135593
1800,0,0.00000000,0,0,0.00000000,0,8199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8199,-38.74674225,-38.74674225,10.51690769,10.51690769,0.59322983,0.59322983,47.05392965
1900,0,0.00000000,0,0,0.00000000,0,8099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8099,-45.64762497,-45.64762497,3.98505020,3.98505020,0.19574577,0.19574577,50.34568914
2000,0,0.00000000,0,0,0.00000000,0,7999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7999,-133.37873840,-133.37873840,1.09158468,1.09158468,0.00585538,0.00585538,134.63372040
2100,0,0.00000000,0,0,0.00000000,0,7899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7899,-32.19205093,-32.19205093,8.02147579,8.02147579,0.37768495,0.37768495,33.08829689
2200,0,0.00000000,0,0,0.00000000,0,7799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7799,-34.12261581,-34.12261581,3.21743846,3.21743846,0.17572117,0.17572117,38.12122822
2300,0,0.00000000,0,0,0.00000000,0,7699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7699,-39.21929169,-39.21929169,6.45240831,6.45240831,0.28609452,0.28609452,43.02382278
2400,0,0.00000000,0,0,0.00000000,0,7599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7599,-39.81656647,-39.81656647,1.58682573,1.58682573,0.04301761,0.04301761,41.67363230
2500,0,0.00000000,0,0,0.00000000,0,7499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7499,-29.32570457,-29.32570457,4.09341431,4.09341431,0.16547370,0.16547370,33.54701996
2600,0,0.00000000,0,0,0.00000000,0,7399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7399,-28.38903999,-28.38903999,4.68486786,4.68486786,0.21256484,0.21256484,29.92090988
2700,0,0.00000000,0,0,0.00000000,0,7299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7299,-24.62111664,-24.62111664,2.25901794,2.25901794,0.07937131,0.07937131,24.89576340
2800,0,0.00000000,0,0,0.00000000,0,7199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7199,-24.59220886,-24.59220886,5.04638243,5.04638243,0.15468822,0.15468822,24.31203461
2900,0,0.00000000,0,0,0.00000000,0,7099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7099,-31.62688255,-31.62688255,20.65393066,20.65393066,0.37811673,0.37811673,35.80639394
