step,detector_epoch,block_evidence,block_coverage,num_regions,W_t,regime_change
20099,0,0.05096496,0.96000000,216,0.00096496,0
20199,0,0.03977528,0.98000000,213,0.00000000,0
20299,0,0.03726814,0.96000000,265,0.00000000,0
20399,0,0.00048793,0.98000000,243,0.00000000,0
20499,0,0.01360605,0.97000000,243,0.00000000,0
20599,0,0.01097046,0.98000000,235,0.00000000,0
20699,0,0.04029667,0.94000000,258,0.00000000,0
20799,0,0.00304650,0.94000000,242,0.00000000,0
20899,0,0.00182327,0.97000000,253,0.00000000,0
20999,0,0.00511426,0.96000000,255,0.00000000,0
21099,0,0.17972220,0.94000000,246,0.12972220,0
21199,0,0.05353213,0.93000000,260,0.13325432,0
21299,0,0.01510705,0.95000000,243,0.09836137,0
21399,0,0.00000000,0.97000000,256,0.04836137,0
21499,0,0.00829567,0.94000000,251,0.00665704,0
21599,0,0.00000000,0.98000000,251,0.00000000,0
21699,0,0.00286940,0.94000000,247,0.00000000,0
21799,0,0.03041392,0.99000000,266,0.00000000,0
21899,0,0.02614294,0.96000000,270,0.00000000,0
21999,0,0.00000000,0.98000000,238,0.00000000,0
22099,0,0.18819569,0.96000000,229,0.13819569,0
22199,0,0.01572953,1.00000000,233,0.10392522,0
22299,0,0.07758297,0.93000000,238,0.13150818,0
22399,0,0.04425024,0.94000000,226,0.12575842,0
22499,0,0.00028580,0.94000000,248,0.07604422,0
22599,0,0.01222323,0.91000000,245,0.03826745,0
22699,0,0.03546382,0.93000000,236,0.02373127,0
22799,0,0.00000000,0.93000000,241,0.00000000,0
22899,0,0.00000000,0.94000000,250,0.00000000,0
22999,0,0.00414477,0.98000000,258,0.00000000,0
23099,0,0.20683637,0.86000000,221,0.15683637,0
23199,0,0.29317502,0.83000000,198,0.40001138,0
23299,0,0.10599049,0.94000000,193,0.45600188,0
23399,0,0.10185725,0.95000000,248,0.50785912,0
23499,0,0.00373993,0.92000000,223,0.46159905,0
23599,0,0.00000000,0.96000000,235,0.41159905,0
23699,0,0.01952701,0.96000000,258,0.38112605,0
23799,0,0.07985001,0.97000000,252,0.41097606,0
23899,0,0.00529248,0.99000000,261,0.36626854,0
23999,0,0.00433694,1.00000000,263,0.32060549,0
24099,0,0.20936085,0.96000000,231,0.47996634,0
24199,0,0.03221876,0.94000000,243,0.46218510,0
24299,0,0.02855991,0.98000000,241,0.44074500,0
24399,0,0.00000000,0.96000000,252,0.39074500,0
24499,0,0.04078319,0.96000000,240,0.38152819,0
24599,0,0.02070841,0.95000000,245,0.35223661,0
24699,0,0.01822192,0.93000000,234,0.32045852,0
24799,0,0.00469451,0.97000000,251,0.27515303,0
24899,0,0.04705046,0.94000000,229,0.27220349,0
24999,0,0.00036845,0.94000000,256,0.22257195,0
25099,0,0.04887578,0.92000000,224,0.22144773,0
25199,0,0.02699940,0.96000000,259,0.19844713,0
25299,0,0.00718071,0.94000000,253,0.15562784,0
25399,0,0.01521843,0.97000000,253,0.12084627,0
25499,0,0.02834579,0.95000000,246,0.09919206,0
25599,0,0.01043365,0.94000000,242,0.05962571,0
25699,0,0.00311351,0.99000000,254,0.01273922,0
25799,0,0.03251643,0.92000000,247,0.00000000,0
25899,0,0.00063142,0.96000000,244,0.00000000,0
25999,0,0.03535381,0.86000000,231,0.00000000,0
26099,0,0.04664494,0.93000000,224,0.00000000,0
26199,0,0.05589934,0.90000000,233,0.00589934,0
26299,0,0.07138259,0.96000000,232,0.02728193,0
26399,0,0.04535089,0.95000000,250,0.02263282,0
26499,0,0.02008235,0.96000000,251,0.00000000,0
26599,0,0.04141271,0.91000000,236,0.00000000,0
26699,0,0.01694463,0.95000000,223,0.00000000,0
26799,0,0.04106257,0.90000000,231,0.00000000,0
26899,0,0.03064176,0.93000000,232,0.00000000,0
26999,0,0.04084582,0.90000000,239,0.00000000,0
27099,0,0.34114036,0.85000000,218,0.29114036,0
27199,0,0.14852713,0.89000000,234,0.38966749,0
27299,0,0.06213336,0.99000000,235,0.40180086,0
27399,0,0.08028933,0.94000000,232,0.43209019,0
27499,0,0.02887907,0.98000000,222,0.41096925,0
27599,0,0.05063844,0.96000000,240,0.41160770,0
27699,0,0.02407499,0.95000000,252,0.38568269,0
27799,0,0.07320639,0.95000000,242,0.40888908,0
27899,0,0.10834673,0.91000000,225,0.46723581,0
27999,0,0.28716283,0.84000000,214,0.70439864,0
28099,0,0.22444799,0.80000000,217,0.87884663,0
28199,0,0.00000000,0.94000000,215,0.82884663,0
28299,0,0.02180846,0.91000000,204,0.80065509,0
28399,0,0.00443433,0.92000000,207,0.75508942,0
28499,0,0.01736311,0.87000000,212,0.72245253,0
28599,0,0.00776590,0.93000000,247,0.68021843,0
28699,0,0.06516834,0.84000000,228,0.69538677,0
28799,0,0.06966820,0.90000000,227,0.71505497,0
28899,0,0.02524611,0.94000000,245,0.69030108,0
28999,0,0.01151949,0.99000000,239,0.65182057,0
29099,0,0.11020713,0.90000000,208,0.71202770,0
29199,0,0.01047362,0.96000000,230,0.67250132,0
29299,0,0.00000000,0.95000000,254,0.62250132,0
29399,0,0.04808008,0.95000000,248,0.62058141,0
29499,0,0.00463768,0.95000000,249,0.57521909,0
29599,0,0.00010713,0.96000000,257,0.52532622,0
29699,0,0.00354659,0.98000000,251,0.47887281,0
29799,0,0.00480592,0.98000000,245,0.43367873,0
29899,0,0.00000000,0.99000000,251,0.38367873,0
29999,0,0.02828556,0.96000000,256,0.36196429,0
30099,0,0.11613343,0.85000000,225,0.42809773,0
30199,0,0.02416888,0.97000000,251,0.40226661,0
30299,0,0.00000000,0.95000000,251,0.35226661,0
30399,0,0.00596330,0.99000000,263,0.30822991,0
30499,0,0.00000000,0.98000000,246,0.25822991,0
30599,0,0.00386727,0.99000000,253,0.21209718,0
30699,0,0.00682565,0.97000000,250,0.16892283,0
30799,0,0.00000000,0.97000000,227,0.11892283,0
30899,0,0.07161140,0.95000000,249,0.14053423,0
30999,0,0.00000000,0.92000000,237,0.09053423,0
31099,0,0.07704720,0.83000000,221,0.11758143,0
31199,0,0.01075571,0.98000000,243,0.07833714,0
31299,0,0.02036998,0.96000000,249,0.04870712,0
31399,0,0.00745750,0.98000000,243,0.00616463,0
31499,0,0.01500748,0.98000000,253,0.00000000,0
31599,0,0.01782663,0.94000000,232,0.00000000,0
31699,0,0.08735533,0.94000000,232,0.03735533,0
31799,0,0.01143542,0.96000000,251,0.00000000,0
