step,detector_epoch,phase,transition_surprise,z_score,transition_evidence,valid_local_residual,supported_tables,median_bucket_count,block_completed,block_evidence,block_coverage,num_regions,W_t,log_p_hat,mean_total_var,mean_epistemic_var,predictor_warmup_remaining,residual_calibration_remaining,regime_change,predictor_nll
0,0,predictor_warmup,19.00547981,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-187.57991028,0.99977803,0.00544875,9999,0,0,191.55627950
100,0,predictor_warmup,8.65323353,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-97.79672241,1.51743102,0.21418425,9899,0,0,134.10005379
200,0,predictor_warmup,9.98002148,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-110.37040710,1.68256903,0.24216631,9799,0,0,137.96575546
300,0,predictor_warmup,9.21244431,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-101.61997986,1.35240972,0.09873851,9699,0,0,118.57719803
400,0,predictor_warmup,2.68900704,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-44.45179367,1.73789251,0.18784329,9599,0,0,47.78162003
500,0,predictor_warmup,9.01258945,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-101.06086731,1.67544985,0.14579757,9499,0,0,126.28696442
600,0,predictor_warmup,3.59466052,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-52.89635468,2.08151245,0.25955391,9399,0,0,66.18104362
700,0,predictor_warmup,1.30441308,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-36.44864655,4.49488926,0.34259045,9299,0,0,43.38277435
800,0,predictor_warmup,1.04803431,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-30.60866165,2.46505523,0.16261455,9199,0,0,31.59680462
900,0,predictor_warmup,2.95314574,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-46.12052917,1.88102770,0.09830725,9099,0,0,45.74545670
1000,0,predictor_warmup,4.73586369,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-59.53630447,1.05313385,0.00283170,8999,0,0,60.44878896
1100,0,predictor_warmup,7.33251095,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-83.36448669,1.16554880,0.01666459,8899,0,0,87.60491180
1200,0,predictor_warmup,0.81793213,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-29.60248947,5.07890987,0.21014799,8799,0,0,30.61154429
1300,0,predictor_warmup,1.60535514,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-35.85886002,4.15760899,0.24424431,8699,0,0,45.00259209
1400,0,predictor_warmup,2.25865722,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-41.95064163,4.40771723,0.27053070,8599,0,0,47.63385010
