block_index,step,E_k,W_k,mean_familiarity,mean_surprise,regime_change
0,10099,0.00001468,0.00000000,0.01132895,0.89071609,0
1,10199,0.00016610,0.00000000,0.05661746,0.52039549,0
2,10299,0.00056329,0.00000000,0.10821641,0.55148040,0
3,10399,0.00344055,0.00000000,0.20995690,0.56793768,0
4,10499,0.00880151,0.00000000,0.28560708,0.48354260,0
5,10599,0.01340849,0.00000000,0.29112164,0.56294929,0
6,10699,0.02461423,0.00000000,0.36111717,0.55629988,0
7,10799,0.02593200,0.00000000,0.35002064,0.60667245,0
8,10899,0.03417339,0.00000000,0.38143199,0.56038092,0
9,10999,0.03106616,0.00000000,0.35313096,0.63068239,0
10,11099,0.04995649,0.00000000,0.38723078,0.92549830,0
11,11199,0.06403757,0.00000000,0.46164972,0.55392507,0
12,11299,0.09363150,0.00000000,0.51789405,0.54647132,0
13,11399,0.08203178,0.00000000,0.52353766,0.53484660,0
14,11499,0.10350790,0.00000000,0.55836194,0.61720891,0
15,11599,0.14464641,0.00000000,0.64534700,0.50273318,0
16,11699,0.15333503,0.00000000,0.66576484,0.50249723,0
17,11799,0.15091170,0.00000000,0.65219134,0.56903990,0
18,11899,0.16451193,0.00000000,0.65659294,0.55425856,0
19,11999,0.21716939,0.00000000,0.72232843,0.52265859,0
20,12099,0.22188319,0.00000000,0.57374948,1.06074523,0
21,12199,0.20909603,0.00000000,0.73104365,0.57027275,0
22,12299,0.20012844,0.00000000,0.71628887,0.55672653,0
23,12399,0.23324632,0.00000000,0.73032953,0.57175939,0
24,12499,0.22464706,0.00000000,0.75106865,0.52268313,0
25,12599,0.24724016,0.00000000,0.76051752,0.56074505,0
26,12699,0.23847569,0.00000000,0.79939475,0.48594692,0
27,12799,0.26266718,0.00000000,0.77466859,0.52810481,0
28,12899,0.32994409,0.00000000,0.75158744,0.67874902,0
29,12999,0.29316883,0.00000000,0.69347939,0.71530397,0
30,13099,0.32150623,0.00000000,0.64844827,0.95920122,0
31,13199,0.32122072,0.00000000,0.81196891,0.58079629,0
32,13299,0.28854631,0.00000000,0.76498209,0.56200059,0
33,13399,0.25944610,0.00000000,0.77439170,0.53395730,0
34,13499,0.29458961,0.00000000,0.79929250,0.59486760,0
35,13599,0.30368383,0.00000000,0.83856231,0.53805349,0
36,13699,0.30788826,0.00000000,0.80756104,0.54756393,0
37,13799,0.32750921,0.00000000,0.78383980,0.60491822,0
38,13899,0.36497940,0.00000000,0.79754136,0.63560675,0
39,13999,0.33258842,0.00000000,0.75287813,0.68822237,0
40,14099,0.52659462,0.00000000,0.74200395,1.14164681,0
41,14199,0.31665100,0.00000000,0.78820584,0.61347475,0
42,14299,0.30223758,0.00000000,0.81377570,0.51201436,0
43,14399,0.31032692,0.00000000,0.82900365,0.51107724,0
44,14499,0.29335408,0.00000000,0.84798959,0.46564855,0
45,14599,0.35226182,0.00000000,0.81777840,0.57739889,0
46,14699,0.34956103,0.00000000,0.85161547,0.51812652,0
47,14799,0.34565002,0.00000000,0.81549601,0.59680505,0
48,14899,0.34473110,0.00000000,0.81896633,0.58408609,0
49,14999,0.41943153,0.00000000,0.86808679,0.59953919,0
50,15099,0.52136720,0.00000000,0.70895038,1.17964713,0
51,15199,0.36334349,0.00000000,0.67563317,0.96085699,0
52,15299,0.33732963,0.00000000,0.84410055,0.49277188,0
53,15399,0.31280646,0.00000000,0.85605392,0.48662986,0
54,15499,0.37661710,0.00000000,0.85677109,0.56529369,0
55,15599,0.36668025,0.00000000,0.86425715,0.54969001,0
56,15699,0.34940729,0.00000000,0.89816893,0.46791199,0
57,15799,0.38946389,0.00000000,0.90954948,0.51640343,0
58,15899,0.42746781,0.00000000,0.86927406,0.56509404,0
59,15999,0.38755340,0.00000000,0.89608638,0.51418150,0
60,16099,0.69330251,0.36550447,0.76471771,1.30392329,0
61,16199,0.31912401,0.27302395,0.83612643,0.54746456,0
62,16299,0.35271889,0.19416360,0.84826872,0.53218476,0
63,16399,0.34222824,0.07882540,0.87094032,0.50735573,0
64,16499,0.32039072,0.00000000,0.85643995,0.48506792,0
65,16599,0.38628321,0.00000000,0.90962967,0.51729183,0
66,16699,0.36118877,0.00000000,0.88140662,0.50600235,0
67,16799,0.40582682,0.00000000,0.88932005,0.56511613,0
68,16899,0.39735332,0.00000000,0.86255796,0.56590074,0
69,16999,0.42178472,0.00000000,0.90868581,0.53199945,0
70,17099,0.66247517,0.30579316,0.78030187,1.20680901,0
71,17199,0.41436659,0.23721761,0.88966100,0.57111583,0
72,17299,0.36308209,0.10456637,0.89814277,0.47146959,0
73,17399,0.36892476,0.00000000,0.90253644,0.49273916,0
74,17499,0.34347431,0.00000000,0.84758844,0.52759336,0
75,17599,0.40022693,0.00000000,0.85846916,0.56727562,0
76,17699,0.45264347,0.00000000,0.89240420,0.59592410,0
77,17799,0.40231803,0.00000000,0.85921971,0.59359534,0
78,17899,0.43374745,0.00000000,0.91009829,0.54312381,0
79,17999,0.43179827,0.00000000,0.86936350,0.59104572,0
80,18099,0.51900149,0.18794247,0.75712193,0.97496621,0
81,18199,0.59330114,0.37152812,0.82216397,0.92750003,0
82,18299,0.57243367,0.51999507,0.82915443,0.92405122,0
83,18399,0.37086893,0.38300431,0.89979915,0.48730831,0
84,18499,0.36322768,0.21988133,0.92314114,0.46006947,0
85,18599,0.35895687,0.04396992,0.92872525,0.44732971,0
86,18699,0.39086014,0.00000000,0.90381175,0.49365354,0
87,18799,0.42899900,0.00000000,0.93478949,0.51340797,0
88,18899,0.37278503,0.00000000,0.95983659,0.42689117,0
89,18999,0.42398965,0.00000000,0.93071320,0.51225595,0
90,19099,0.74905527,0.30793078,0.84812016,1.12220221,0
91,19199,0.39268428,0.13915484,0.94442041,0.47056462,0
92,19299,0.40748868,0.00000000,0.92865631,0.48727762,0
93,19399,0.40765338,0.00000000,0.93336245,0.48579722,0
94,19499,0.45452304,0.00000000,0.90910777,0.57310204,0
95,19599,0.46515524,0.00000000,0.95260370,0.51967800,0
96,19699,0.46054962,0.00000000,0.95933808,0.51433976,0
97,19799,0.43011037,0.00000000,0.97349155,0.46553250,0
98,19899,0.49122826,0.00000000,0.92646387,0.58990400,0
99,19999,0.46024698,0.00000000,0.94654946,0.53958429,0
100,20099,0.82433725,0.40790617,0.81279369,1.37966661,0
101,20199,0.39557989,0.22493715,0.94870514,0.45857658,0
102,20299,0.36188860,0.00000000,0.96572941,0.40643658,0
103,20399,0.42398247,0.00000000,0.94215745,0.48442405,0
104,20499,0.49171473,0.00000000,0.96888199,0.54012715,0
105,20599,0.42552744,0.00000000,0.97379562,0.46171735,0
106,20699,0.45975887,0.00000000,0.93682916,0.54399887,0
107,20799,0.42225835,0.00000000,0.95034929,0.48306560,0
108,20899,0.45541843,0.00000000,0.92806283,0.53437509,0
109,20999,0.52907724,0.00000000,0.98324133,0.55740221,0
110,21099,0.74952126,0.29551221,0.87552754,1.08519710,0
111,21199,0.45328186,0.13312018,0.97256483,0.48581804,0
112,21299,0.42743886,0.00000000,0.97358793,0.45958376,0
113,21399,0.42938492,0.00000000,0.96154845,0.46642324,0
114,21499,0.47810526,0.00000000,0.97224061,0.52275130,0
115,21599,0.48102272,0.00000000,0.96225229,0.52724633,0
116,21699,0.45419251,0.00000000,0.95751114,0.50401783,0
117,21799,0.45255756,0.00000000,0.96787189,0.49012111,0
118,21899,0.44249356,0.00000000,0.96804947,0.48209580,0
119,21999,0.49523755,0.00000000,0.97106394,0.53508801,0
120,22099,0.76121505,0.31088222,0.87218568,1.15173571,0
121,22199,0.50238441,0.20116933,0.97312713,0.54829149,0
122,22299,0.45727153,0.04774195,0.96740135,0.49048428,0
123,22399,0.41952024,0.00000000,0.95738920,0.46224787,0
124,22499,0.45488535,0.00000000,0.94438897,0.51682024,0
125,22599,0.50716289,0.00000000,0.95137373,0.57881392,0
126,22699,0.49622687,0.00000000,0.95476647,0.56828544,0
127,22799,0.43148973,0.00000000,0.95500005,0.48525441,0
128,22899,0.46010719,0.00000000,0.96462718,0.50639822,0
129,22999,0.50053312,0.00000000,0.97568668,0.53788185,0
130,23099,0.78620168,0.28751487,0.89225927,1.06815657,0
131,23199,0.45139993,0.14290542,0.96186208,0.49941073,0
132,23299,0.41162514,0.00000000,0.94552008,0.46848369,0
133,23399,0.44281429,0.00000000,0.97611938,0.47091617,0
134,23499,0.49529873,0.00000000,0.95261193,0.55169020,0
135,23599,0.47302772,0.00000000,0.97074979,0.51340322,0
136,23699,0.49420446,0.00000000,0.96790681,0.53736835,0
137,23799,0.46802240,0.00000000,0.96244448,0.51826274,0
138,23899,0.47678287,0.00000000,0.98356797,0.49636302,0
139,23999,0.49523747,0.00000000,0.96784882,0.53229438,0
140,24099,0.65949979,0.07972789,0.95262196,0.77285222,0
141,24199,0.44825582,0.00000000,0.97600410,0.48487375,0
142,24299,0.51369059,0.00000000,0.97892619,0.55678189,0
143,24399,0.52776539,0.00000000,0.97841697,0.56424111,0
144,24499,0.47779916,0.00000000,0.96865077,0.53212113,0
145,24599,0.52218287,0.00000000,0.97973296,0.55354570,0
146,24699,0.49457272,0.00000000,0.98229555,0.51496414,0
147,24799,0.53434052,0.00000000,0.97922806,0.56867322,0
148,24899,0.51483537,0.00000000,0.97430840,0.55885034,0
149,24999,0.48701865,0.00000000,0.98031313,0.53009619,0
150,25099,0.75496906,0.21106904,0.91810035,0.96032602,0
151,25199,0.41491295,0.00000000,0.99158463,0.42698663,0
152,25299,0.41437291,0.00000000,0.99305006,0.42143036,0
153,25399,0.44652208,0.00000000,0.98017377,0.47156944,0
154,25499,0.47776740,0.00000000,0.98111978,0.50837624,0
155,25599,0.44064026,0.00000000,0.99170381,0.45370365,0
156,25699,0.46422990,0.00000000,0.99620679,0.46862206,0
157,25799,0.49036089,0.00000000,0.99067455,0.50366761,0
158,25899,0.54188319,0.00000000,0.98680805,0.56559320,0
159,25999,0.56280563,0.00000000,0.98414423,0.58387461,0
160,26099,0.81139361,0.22748151,0.94031865,0.96733944,0
161,26199,0.49520090,0.08261018,0.98858504,0.51593999,0
162,26299,0.53861643,0.00000000,0.98840285,0.55323189,0
163,26399,0.52343212,0.00000000,0.98259124,0.54929219,0
164,26499,0.51384787,0.00000000,0.98953374,0.52954564,0
165,26599,0.55795714,0.00000000,0.98093519,0.59375380,0
166,26699,0.57926797,0.00000000,0.98263985,0.61429013,0
167,26799,0.54252850,0.00000000,0.98668128,0.56616918,0
168,26899,0.50972817,0.00000000,0.99038647,0.52614011,0
169,26999,0.54557252,0.00000000,0.99281101,0.55848782,0
170,27099,0.72424152,0.12150417,0.96897978,0.82002831,0
171,27199,0.52673003,0.00997058,0.98677930,0.54933885,0
172,27299,0.51029533,0.00000000,0.98753046,0.52723341,0
173,27399,0.52516651,0.00000000,0.98567970,0.54404239,0
174,27499,0.55078916,0.00000000,0.98597921,0.57439846,0
175,27599,0.51987660,0.00000000,0.98566492,0.54732323,0
176,27699,0.48119486,0.00000000,0.99077739,0.49597586,0
177,27799,0.51704917,0.00000000,0.98645563,0.53309482,0
178,27899,0.54552821,0.00000000,0.99178899,0.56085456,0
179,27999,0.47636559,0.00000000,0.99003079,0.49237977,0
180,28099,0.68901104,0.07457701,0.97502158,0.76964876,0
181,28199,0.50302857,0.00000000,0.99391590,0.51372692,0
182,28299,0.50164369,0.00000000,0.96974674,0.55085226,0
183,28399,0.57167617,0.00000000,0.98643574,0.59654621,0
184,28499,0.52309017,0.00000000,0.98519939,0.53794972,0
185,28599,0.54336078,0.00000000,0.98472966,0.56465285,0
186,28699,0.45983654,0.00000000,0.98670396,0.48038762,0
187,28799,0.55338863,0.00000000,0.99383399,0.56730824,0
188,28899,0.51508784,0.00000000,0.98784530,0.53429730,0
189,28999,0.60134710,0.00000000,0.98192502,0.62564460,0
190,29099,0.77420289,0.16409423,0.96841221,0.85001127,0
191,29199,0.50913900,0.02873511,0.98869997,0.52667179,0
192,29299,0.53516682,0.00000000,0.98763108,0.56185674,0
193,29399,0.54843397,0.00000000,0.98284007,0.57333659,0
194,29499,0.46517889,0.00000000,0.99555042,0.47079316,0
195,29599,0.46974562,0.00000000,0.99160495,0.48358166,0
196,29699,0.52660096,0.00000000,0.99582687,0.53418639,0
197,29799,0.52364364,0.00000000,0.98618308,0.54930603,0
198,29899,0.53334443,0.00000000,0.99476207,0.53924260,0
199,29999,0.51866982,0.00000000,0.99845946,0.52161490,0
200,30099,0.82303645,0.22559432,0.95547374,0.96399831,0
201,30199,0.47453607,0.04080542,0.99534258,0.48056536,0
202,30299,0.46702073,0.00000000,0.99691088,0.47269988,0
203,30399,0.50546559,0.00000000,0.98979728,0.51801643,0
204,30499,0.58396986,0.00000000,0.99889271,0.58605916,0
205,30599,0.52419285,0.00000000,0.99899919,0.52607676,0
206,30699,0.56855435,0.00000000,0.98947034,0.58893261,0
207,30799,0.52923834,0.00000000,0.98484711,0.54585432,0
208,30899,0.49775522,0.00000000,0.99702887,0.50197980,0
209,30999,0.48309519,0.00000000,0.99864869,0.48487764,0
210,31099,1.12522666,0.51292390,0.96901067,1.21479058,0
211,31199,0.84399505,0.73059141,0.97740577,0.90321485,0
212,31299,0.90010775,1.05630459,0.93107037,1.07408192,0
213,31399,0.48368995,0.88896157,0.99155993,0.50401352,0
214,31499,0.43715954,0.66450294,0.99896675,0.43857558,0
215,31599,0.42356328,0.42517280,0.99946549,0.42451029,0
216,31699,0.42310593,0.20085694,0.98535167,0.43466435,0
217,31799,0.51987318,0.06753841,0.99566605,0.52625663,0
218,31899,0.51853269,0.00000000,0.99492124,0.52788831,0
219,31999,0.51890266,0.00000000,0.99825754,0.52100788,0
220,32099,0.81431160,0.24366245,0.93321477,0.97913804,0
221,32199,0.51222006,0.10130916,0.99365364,0.51879411,0
222,32299,0.48018994,0.00000000,0.99076042,0.49284709,0
223,32399,0.53098072,0.00000000,0.99182609,0.54446402,0
224,32499,0.51584625,0.00000000,0.99710392,0.52157315,0
225,32599,0.54655209,0.00000000,0.99466216,0.55689695,0
226,32699,0.54716928,0.00000000,0.99569368,0.55731828,0
227,32799,0.59145014,0.00000000,0.99110170,0.60778516,0
228,32899,0.51238814,0.00000000,0.99313832,0.52554683,0
229,32999,0.51641647,0.00000000,0.99509940,0.52583378,0
230,33099,0.80194021,0.28007853,0.91574777,0.99456432,0
231,33199,0.72029100,0.36451577,0.98466673,0.76386389,0
232,33299,0.46964934,0.18410575,0.98808578,0.48358493,0
233,33399,0.49197019,0.01853962,0.99469652,0.49627525,0
234,33499,0.51432831,0.00000000,0.98750758,0.52961499,0
235,33599,0.55853474,0.00000000,0.99042027,0.57284476,0
236,33699,0.51260185,0.00000000,0.99541422,0.51951495,0
237,33799,0.57517033,0.00000000,0.99118023,0.59514604,0
238,33899,0.56124557,0.00000000,0.99685023,0.56804061,0
239,33999,0.53741200,0.00000000,0.98992156,0.54970994,0
240,34099,1.03309385,0.44561025,0.94861140,1.17207710,0
241,34199,0.44615973,0.23407675,0.99278018,0.45972451,0
242,34299,0.48253270,0.05104097,0.99766498,0.48661524,0
243,34399,0.47399750,0.00000000,0.99833174,0.47774537,0
244,34499,0.49730897,0.00000000,0.99493311,0.50554029,0
245,34599,0.55775721,0.00000000,0.99568435,0.56590092,0
246,34699,0.50652810,0.00000000,0.99345075,0.51264315,0
247,34799,0.54707914,0.00000000,0.99949833,0.54787600,0
248,34899,0.54207646,0.00000000,0.99928166,0.54349260,0
249,34999,0.53387970,0.00000000,0.99606820,0.54116652,0
250,35099,1.01904788,0.43524494,0.94884868,1.19008442,0
251,35199,0.49045273,0.25437414,0.99913959,0.49190787,0
252,35299,0.44366299,0.02814694,0.99890109,0.44584358,0
253,35399,0.48902380,0.00000000,0.99846028,0.49207918,0
254,35499,0.50325060,0.00000000,0.99522899,0.51489039,0
255,35599,0.53089260,0.00000000,0.99712458,0.53626691,0
256,35699,0.48485111,0.00000000,0.99815704,0.48746118,0
257,35799,0.55558124,0.00000000,0.99772213,0.56055405,0
258,35899,0.53022763,0.00000000,0.99945339,0.53111081,0
259,35999,0.54300391,0.00000000,0.99958703,0.54362825,0
260,36099,0.89999962,0.27700621,0.97305862,0.98481391,0
261,36199,0.50824800,0.11422771,0.99955844,0.50921313,0
262,36299,0.50285527,0.00000000,0.99854506,0.50544980,0
263,36399,0.49743963,0.00000000,0.99979700,0.49787613,0
264,36499,0.57102082,0.00000000,0.99870702,0.57279271,0
265,36599,0.51094328,0.00000000,0.99894531,0.51398129,0
266,36699,0.58027625,0.00000000,0.99825513,0.58385087,0
267,36799,0.53786545,0.00000000,0.99958146,0.53860027,0
268,36899,0.58857624,0.00000000,0.99691257,0.59475636,0
269,36999,0.57545863,0.00000000,0.99951843,0.57633782,0
270,37099,1.10187408,0.51067077,0.94344811,1.25573019,0
271,37199,0.52426937,0.36960266,0.99825076,0.52875160,0
272,37299,0.45086367,0.15268112,0.99937755,0.45173176,0
273,37399,0.51207027,0.00000000,0.99920867,0.51418321,0
274,37499,0.53510809,0.00000000,0.99910586,0.53638162,0
275,37599,0.53975942,0.00000000,0.99853730,0.54194040,0
276,37699,0.56317001,0.00000000,0.99824375,0.56610358,0
277,37799,0.52315805,0.00000000,0.99588504,0.53022597,0
278,37899,0.56527384,0.00000000,0.99858225,0.56763435,0
279,37999,0.58041039,0.00000000,0.99962705,0.58145731,0
280,38099,0.87796838,0.29256986,0.93995760,1.01918796,0
281,38199,0.43531719,0.05724550,0.99978101,0.43579455,0
282,38299,0.58492480,0.00000000,0.99531486,0.59796290,0
283,38399,0.53097315,0.00000000,0.99885229,0.53388658,0
284,38499,0.57242091,0.00000000,0.99752024,0.58064738,0
285,38599,0.55015934,0.00000000,0.99974102,0.55060392,0
286,38699,0.55278407,0.00000000,0.99544491,0.55873378,0
287,38799,0.53818288,0.00000000,0.99987344,0.53849008,0
288,38899,0.61941842,0.00000000,0.99940909,0.62095867,0
289,38999,0.53625222,0.00000000,0.99892452,0.53824026,0
290,39099,0.91308775,0.29493421,0.96642423,0.98571129,0
291,39199,0.58773268,0.21453196,0.99762731,0.59354019,0
292,39299,0.54442565,0.09474396,0.99583022,0.55459514,0
293,39399,0.60179638,0.04395944,0.98976905,0.62079368,0
294,39499,0.57140107,0.00000000,0.99721681,0.57909860,0
295,39599,0.56752648,0.00000000,0.99170368,0.58890889,0
296,39699,0.69402308,0.03823073,0.98916050,0.71390936,0
297,39799,0.56977243,0.00000000,0.99714344,0.57629848,0
298,39899,0.53711670,0.00000000,0.99145068,0.54927753,0
299,39999,0.57046640,0.00000000,0.99427457,0.57946145,0
300,40099,0.79998111,0.17742173,0.97198225,0.86851805,0
301,40199,0.52956904,0.04123658,0.99377006,0.53716076,0
302,40299,0.45787002,0.00000000,0.99674365,0.46294124,0
303,40399,0.46837441,0.00000000,0.99703170,0.47313506,0
304,40499,0.51346759,0.00000000,0.99799414,0.51733893,0
305,40599,0.51514358,0.00000000,0.99698363,0.52155521,0
306,40699,0.69140377,0.03113946,0.99253597,0.70422881,0
307,40799,0.54833946,0.00000000,0.99595025,0.55622573,0
308,40899,0.55379775,0.00000000,0.99426036,0.56368103,0
309,40999,0.50657054,0.00000000,0.99825214,0.51031925,0
310,41099,0.88101584,0.27748041,0.94845216,1.07017387,0
311,41199,0.49205531,0.09362549,0.99880534,0.49331794,0
312,41299,0.53285219,0.00000000,0.99942610,0.53386516,0
313,41399,0.52813954,0.00000000,0.99868449,0.53136898,0
314,41499,0.60236705,0.00000000,0.99858675,0.60598389,0
315,41599,0.58610183,0.00000000,0.99827621,0.59164321,0
316,41699,0.48860377,0.00000000,0.99908740,0.48975498,0
317,41799,0.61997300,0.00000000,0.99925189,0.62234666,0
318,41899,0.54836417,0.00000000,0.99216663,0.55814654,0
319,41999,0.59315533,0.00000000,0.99894231,0.59573796,0
320,42099,0.65542388,0.03546526,0.95633507,0.77602615,0
321,42199,0.49238791,0.00000000,0.99781779,0.49799457,0
322,42299,0.51708347,0.00000000,0.99807847,0.52120966,0
323,42399,0.54305463,0.00000000,0.99734746,0.54857815,0
324,42499,0.52085468,0.00000000,0.99710573,0.52320609,0
325,42599,0.51972567,0.00000000,0.99771711,0.52258586,0
326,42699,0.57856904,0.00000000,0.99899486,0.58015091,0
327,42799,0.58595564,0.00000000,0.99988247,0.58631475,0
328,42899,0.55240602,0.00000000,0.99968497,0.55283221,0
329,42999,0.56495892,0.00000000,0.99978662,0.56541752,0
330,43099,1.18083334,0.60719738,0.92017105,1.46453705,0
331,43199,0.62608277,0.56052641,0.99882576,0.62830440,0
332,43299,0.48684319,0.37207549,0.99986542,0.48716271,0
333,43399,0.52002366,0.21849533,0.99955065,0.52070744,0
334,43499,0.55082950,0.09601048,0.99965596,0.55140981,0
335,43599,0.52023626,0.00000000,0.99547913,0.52786615,0
336,43699,0.56276555,0.00000000,0.99659371,0.57075971,0
337,43799,0.56275651,0.00000000,0.99976321,0.56363689,0
338,43899,0.63765745,0.00000000,0.99734663,0.64548159,0
339,43999,0.59423092,0.00000000,0.99897228,0.59655534,0
340,44099,0.76074431,0.12667390,0.97476595,0.82850296,0
341,44199,0.63552717,0.10353806,0.99093838,0.64793798,0
342,44299,0.56659710,0.00006561,0.99696753,0.57268081,0
