block_index,step,E_k,W_k,mean_familiarity,mean_surprise,mean_gradient_coherence,mean_gradient_novelty,regime_change
0,10099,0.00017016,0.00000000,0.04297473,0.79052624,-0.05255787,1.05255787,0
1,10199,0.00204925,0.00000000,0.11800553,0.70186013,0.06006665,0.93993335,0
2,10299,0.00179694,0.00000000,0.13287042,0.76134413,0.01930177,0.98069823,0
3,10399,0.00391719,0.00000000,0.16884926,0.58820555,0.05796017,0.94203983,0
4,10499,0.00364482,0.00000000,0.18766330,0.50215837,0.04697447,0.95302553,0
5,10599,0.00690314,0.00000000,0.25768142,0.45968905,0.07005338,0.92994662,0
6,10699,0.01765793,0.00000000,0.34304328,0.51168751,0.05386346,0.94613654,0
7,10799,0.02916029,0.00000000,0.39147239,0.54667889,0.07000674,0.92999326,0
8,10899,0.04418262,0.00000000,0.40330618,0.51927598,0.08444094,0.91555906,0
9,10999,0.04185191,0.00000000,0.42490758,0.50272890,0.08491781,0.91508219,0
10,11099,0.07303082,0.00000000,0.43604032,0.77832290,0.05520736,0.94479264,0
11,11199,0.07210310,0.00000000,0.52376456,0.47844439,0.04759625,0.95240375,0
12,11299,0.07205209,0.00000000,0.53507230,0.49247289,0.07512992,0.92487008,0
13,11399,0.10046624,0.00000000,0.59013684,0.47847580,0.09941745,0.90058255,0
14,11499,0.12631853,0.00000000,0.60513036,0.54554646,0.03635233,0.96364767,0
15,11599,0.09943003,0.00000000,0.59132112,0.52770178,0.05887656,0.94112344,0
16,11699,0.13773627,0.00000000,0.62116139,0.58619231,0.08703949,0.91296051,0
17,11799,0.13143207,0.00000000,0.63203474,0.50226769,0.10587334,0.89412666,0
18,11899,0.16984684,0.00000000,0.66000958,0.59676356,0.03363121,0.96636879,0
19,11999,0.19248353,0.00000000,0.70104622,0.54196240,0.10784209,0.89215791,0
20,12099,0.29795279,0.00000000,0.64321809,1.12521335,-0.03087932,1.03087932,0
21,12199,0.24434519,0.00000000,0.66590250,0.74724593,0.06678891,0.93321109,0
22,12299,0.18395528,0.00000000,0.71667396,0.53953308,0.12144615,0.87855385,0
23,12399,0.26369937,0.00000000,0.77750947,0.50174170,0.09097443,0.90902557,0
24,12499,0.23485752,0.00000000,0.72217954,0.55534066,0.07216087,0.92783913,0
25,12599,0.20384518,0.00000000,0.70910784,0.56274133,0.02658858,0.97341142,0
26,12699,0.19475979,0.00000000,0.65692746,0.61664757,0.04032137,0.95967863,0
27,12799,0.25713096,0.00000000,0.76025776,0.58010495,0.07846467,0.92153533,0
28,12899,0.20599760,0.00000000,0.70426205,0.54797403,0.00428823,0.99571177,0
29,12999,0.26783118,0.00000000,0.77918073,0.55432687,0.05791351,0.94208649,0
30,13099,0.57145579,0.00000000,0.78164920,1.06823600,-0.10525351,1.10525351,0
31,13199,0.26088864,0.00000000,0.82823045,0.49957510,0.07619433,0.92380567,0
32,13299,0.27103633,0.00000000,0.80319987,0.51286860,0.04254813,0.95745187,0
33,13399,0.26513149,0.00000000,0.78779230,0.51936388,0.09222249,0.90777751,0
34,13499,0.27412619,0.00000000,0.80666859,0.50685988,0.09412471,0.90587529,0
35,13599,0.35919186,0.00000000,0.82422282,0.59024006,0.04401087,0.95598913,0
36,13699,0.35195250,0.00000000,0.87235662,0.52302840,0.12258940,0.87741060,0
37,13799,0.36844901,0.00000000,0.87890475,0.53190493,0.08360694,0.91639306,0
38,13899,0.36040349,0.00000000,0.85754171,0.51433349,0.07388232,0.92611768,0
39,13999,0.35889259,0.00000000,0.87215107,0.51902840,0.07941919,0.92058081,0
40,14099,0.60089895,0.00000000,0.76782177,1.11003030,-0.07422862,1.07422862,0
41,14199,0.50449919,0.00000000,0.78727249,0.89714637,-0.08470313,1.08470313,0
42,14299,0.46549329,0.00000000,0.85739648,0.72570456,0.12904670,0.87095330,0
43,14399,0.40028871,0.00000000,0.86883714,0.65508981,0.08210109,0.91789891,0
44,14499,0.33237516,0.00000000,0.88934758,0.46205039,0.04251370,0.95748630,0
45,14599,0.37409359,0.00000000,0.93042897,0.48142927,0.07147940,0.92852060,0
46,14699,0.33551525,0.00000000,0.93545062,0.41129689,0.06450422,0.93549578,0
47,14799,0.39612316,0.00000000,0.91813005,0.49858696,0.07701646,0.92298354,0
48,14899,0.37246349,0.00000000,0.91810467,0.45745666,0.09742683,0.90257317,0
49,14999,0.36867237,0.00000000,0.93638310,0.46915348,0.06212323,0.93787677,0
50,15099,0.78017086,0.27092307,0.88840728,1.02794664,-0.05569273,1.05569273,0
51,15199,0.56282794,0.30985737,0.90731387,0.77776226,-0.02874240,1.02874240,0
