step,surprise_raw,surprise_clipped,state_action_pseudo_count,familiarity,e_t,block_E_k,W_k,block_completed,warmup_remaining,regime_change,mean_total_var,mean_epistemic_var,gradient_coherence,gradient_novelty,predictor_nll
0,2.49035096,2.49035096,0,0.00000000,0.00000000,nan,0.00000000,0,9999,0,1.01010597,0.00213096,nan,nan,38.96993510
100,7.05742741,7.05742741,0,0.00000000,0.00000000,nan,0.00000000,0,9899,0,3.59710193,1.16699052,0.09546285,0.90453715,299.38663864
200,7.62097359,7.62097359,0,0.00000000,0.00000000,nan,0.00000000,0,9799,0,1.56548321,0.24463874,0.26072651,0.73927349,116.76327515
300,2.47040081,2.47040081,0,0.00000000,0.00000000,nan,0.00000000,0,9699,0,2.30257607,0.42671522,0.07076627,0.92923373,63.40606562
400,1.68333197,1.68333197,0,0.00000000,0.00000000,nan,0.00000000,0,9599,0,1.34164059,0.08966657,-0.07307140,1.07307140,34.93113136
500,1.38332164,1.38332164,0,0.00000000,0.00000000,nan,0.00000000,0,9499,0,2.31115961,0.37606615,0.03640816,0.96359184,37.09062958
600,0.90998542,0.90998542,0,0.00000000,0.00000000,nan,0.00000000,0,9399,0,3.60361362,0.36445102,0.03632131,0.96367869,35.77855158
700,1.05200410,1.05200410,0,0.00000000,0.00000000,nan,0.00000000,0,9299,0,2.82112408,0.36042926,0.16168751,0.83831249,34.62719345
800,2.08022046,2.08022046,0,0.00000000,0.00000000,nan,0.00000000,0,9199,0,1.87046289,0.16062650,-0.02904637,1.02904637,41.59142227
900,1.13918185,1.13918185,0,0.00000000,0.00000000,nan,0.00000000,0,9099,0,5.35495996,0.36791599,0.01046807,0.98953193,37.88108826
1000,6.46686316,6.46686316,0,0.00000000,0.00000000,nan,0.00000000,0,8999,0,1.05294907,0.00302637,0.22429466,0.77570534,76.51198324
1100,1.39628601,1.39628601,0,0.00000000,0.00000000,nan,0.00000000,0,8899,0,2.87617779,0.12892884,0.03129602,0.96870398,30.71347046
1200,0.75434440,0.75434440,0,0.00000000,0.00000000,nan,0.00000000,0,8799,0,4.22282076,0.23733711,0.00661308,0.99338692,28.07101440
1300,0.75742733,0.75742733,0,0.00000000,0.00000000,nan,0.00000000,0,8699,0,24.06663513,0.60320783,0.01527653,0.98472347,55.21144390
1400,2.82738948,2.82738948,0,0.00000000,0.00000000,nan,0.00000000,0,8599,0,3.38154912,0.11441488,-0.09544976,1.09544976,49.82271576
1500,0.23457026,0.23457026,0,0.00000000,0.00000000,nan,0.00000000,0,8499,0,11.67037106,0.37598431,0.04085789,0.95914211,26.19301414
1600,0.19050524,0.19050524,0,0.00000000,0.00000000,nan,0.00000000,0,8399,0,16.43820190,0.44153944,0.03762398,0.96237602,30.58933973
1700,4.69364929,4.69364929,0,0.00000000,0.00000000,nan,0.00000000,0,8299,0,2.78536558,0.06503456,0.16277947,0.83722053,69.56953939
1800,1.10545790,1.10545790,0,0.00000000,0.00000000,nan,0.00000000,0,8199,0,10.54601383,0.33111984,0.01358656,0.98641344,36.44878006
1900,1.93168306,1.93168306,0,0.00000000,0.00000000,nan,0.00000000,0,8099,0,5.55325508,0.17835511,0.11689023,0.88310977,45.65475591
2000,2.73237944,2.73237944,0,0.00000000,0.00000000,nan,0.00000000,0,7999,0,1.07081747,0.00210880,-0.69867263,1.69867263,41.03812663
2100,0.56629014,0.56629014,0,0.00000000,0.00000000,nan,0.00000000,0,7899,0,16.92272377,0.27940169,-0.01120457,1.01120457,29.50230916
2200,0.42952865,0.42952865,0,0.00000000,0.00000000,nan,0.00000000,0,7799,0,39.30654144,0.35825762,-0.01654642,1.01654642,30.18017578
2300,0.71754402,0.71754402,0,0.00000000,0.00000000,nan,0.00000000,0,7699,0,19.23696899,0.26469174,0.03351078,0.96648922,32.64738655
2400,0.49945915,0.49945915,0,0.00000000,0.00000000,nan,0.00000000,0,7599,0,23.03850174,0.30633223,0.02840662,0.97159338,31.49359131
2500,0.63368672,0.63368672,0,0.00000000,0.00000000,nan,0.00000000,0,7499,0,9.64531422,0.18726671,0.00311865,0.99688135,29.10480245
2600,0.69831955,0.69831955,0,0.00000000,0.00000000,nan,0.00000000,0,7399,0,8.34576607,0.18985450,-0.01868216,1.01868216,28.63623581
2700,0.45898840,0.45898840,0,0.00000000,0.00000000,nan,0.00000000,0,7299,0,35.48775101,0.34953538,-0.04384621,1.04384621,31.01434565
2800,0.17188555,0.17188555,0,0.00000000,0.00000000,nan,0.00000000,0,7199,0,24.75110817,0.29999685,0.02303095,0.97696905,25.89923986
2900,0.43042740,0.43042740,0,0.00000000,0.00000000,nan,0.00000000,0,7099,0,23.00809669,0.20979589,0.02369641,0.97630359,27.93311946
3000,4.45504999,4.45504999,0,0.00000000,0.00000000,nan,0.00000000,0,6999,0,1.10179996,0.00306539,0.49323173,0.50676827,58.58865929
3100,0.67946970,0.67946970,0,0.00000000,0.00000000,nan,0.00000000,0,6899,0,27.06931496,0.32263714,-0.02276628,1.02276628,31.26015091
3200,0.40534994,0.40534994,0,0.00000000,0.00000000,nan,0.00000000,0,6799,0,15.97232723,0.16702376,0.01320158,0.98679842,26.79709053
3300,0.93371052,0.93371052,0,0.00000000,0.00000000,nan,0.00000000,0,6699,0,4.17168856,0.07277015,0.02655256,0.97344744,28.69656245
3400,0.59087372,0.59087372,0,0.00000000,0.00000000,nan,0.00000000,0,6599,0,44.29299545,0.27567795,-0.02761305,1.02761305,31.47546101
3500,0.21304013,0.21304013,0,0.00000000,0.00000000,nan,0.00000000,0,6499,0,38.47492218,0.34486085,0.03378898,0.96621102,29.42936039
3600,0.16019389,0.16019389,0,0.00000000,0.00000000,nan,0.00000000,0,6399,0,19.16229248,0.13575384,0.05141015,0.94858985,22.87881279
3700,0.15945633,0.15945633,0,0.00000000,0.00000000,nan,0.00000000,0,6299,0,42.07597351,0.30905116,-0.02182080,1.02182080,25.37246656
3800,0.33385646,0.33385646,0,0.00000000,0.00000000,nan,0.00000000,0,6199,0,11.31610489,0.11025676,0.01529260,0.98470740,24.51972707
3900,0.93504322,0.93504322,0,0.00000000,0.00000000,nan,0.00000000,0,6099,0,14.41243649,0.11896327,0.09900681,0.90099319,30.26074314
4000,7.51744270,7.51744270,0,0.00000000,0.00000000,nan,0.00000000,0,5999,0,1.15196383,0.00596599,-0.09301963,1.09301963,83.12484741
4100,3.54296756,3.54296756,0,0.00000000,0.00000000,nan,0.00000000,0,5899,0,2.75409865,0.05012117,-0.16680307,1.16680307,47.65441895
4200,0.25489965,0.25489965,0,0.00000000,0.00000000,nan,0.00000000,0,5799,0,47.55472946,0.29119447,0.00015851,0.99984149,28.22605197
4300,0.30574462,0.30574462,0,0.00000000,0.00000000,nan,0.00000000,0,5699,0,45.44388199,0.26221365,0.05704312,0.94295688,26.11190796
4400,0.39442694,0.39442694,0,0.00000000,0.00000000,nan,0.00000000,0,5599,0,30.36032104,0.15048197,0.02295268,0.97704732,26.56195513
4500,0.43582588,0.43582588,0,0.00000000,0.00000000,nan,0.00000000,0,5499,0,20.02796364,0.13362716,-0.00523326,1.00523326,25.05802441
4600,0.28103817,0.28103817,0,0.00000000,0.00000000,nan,0.00000000,0,5399,0,31.97367287,0.23234423,0.02120943,0.97879057,25.64637709
4700,0.65020978,0.65020978,0,0.00000000,0.00000000,nan,0.00000000,0,5299,0,17.87553215,0.15087505,0.06227669,0.93772331,28.27958043
4800,0.65726328,0.65726328,0,0.00000000,0.00000000,nan,0.00000000,0,5199,0,47.31993484,0.31866428,-0.02577827,1.02577827,31.15256500
4900,1.01088297,1.01088297,0,0.00000000,0.00000000,nan,0.00000000,0,5099,0,24.28133774,0.12299788,0.05443505,0.94556495,32.69735575
5000,3.93278933,3.93278933,0,0.00000000,0.00000000,nan,0.00000000,0,4999,0,1.13193285,0.00345690,-0.15415105,1.15415105,52.35450745
5100,1.77605033,1.77605033,0,0.00000000,0.00000000,nan,0.00000000,0,4899,0,3.39068055,0.05809100,0.04833242,0.95166758,36.53032207
5200,0.40025276,0.40025276,0,0.00000000,0.00000000,nan,0.00000000,0,4799,0,30.93147850,0.15745126,0.01342637,0.98657363,26.88758850
5300,0.91437232,0.91437232,0,0.00000000,0.00000000,nan,0.00000000,0,4699,0,10.03061771,0.05474592,-0.13176335,1.13176335,29.68370914
5400,0.47038454,0.47038454,0,0.00000000,0.00000000,nan,0.00000000,0,4599,0,8.71197891,0.13069382,-0.05121403,1.05121403,24.81826210
5500,0.59242833,0.59242833,0,0.00000000,0.00000000,nan,0.00000000,0,4499,0,29.79361343,0.14303917,-0.12397156,1.12397156,28.42713966
5600,0.24223296,0.24223296,0,0.00000000,0.00000000,nan,0.00000000,0,4399,0,21.36029816,0.13716550,0.09395981,0.90604019,23.07129860
5700,0.50369960,0.50369960,0,0.00000000,0.00000000,nan,0.00000000,0,4299,0,23.31255150,0.13369101,0.09556836,0.90443164,27.24814415
5800,0.50364095,0.50364095,0,0.00000000,0.00000000,nan,0.00000000,0,4199,0,33.25650406,0.19393903,-0.03198602,1.03198602,26.76796246
5900,0.52166969,0.52166969,0,0.00000000,0.00000000,nan,0.00000000,0,4099,0,39.30592728,0.24506372,0.01126289,0.98873711,27.12786007
6000,6.94511986,6.94511986,0,0.00000000,0.00000000,nan,0.00000000,0,3999,0,1.25157607,0.00512366,-0.09620745,1.09620745,79.03380585
6100,1.76594138,1.76594138,0,0.00000000,0.00000000,nan,0.00000000,0,3899,0,3.91367388,0.04525192,-0.06018739,1.06018739,35.72089386
6200,0.99948150,0.99948150,0,0.00000000,0.00000000,nan,0.00000000,0,3799,0,37.42452621,0.19717497,-0.03227948,1.03227948,34.42575264
6300,0.58987069,0.58987069,0,0.00000000,0.00000000,nan,0.00000000,0,3699,0,46.89247131,0.20298855,-0.01735204,1.01735204,30.01219368
6400,0.82753265,0.82753265,0,0.00000000,0.00000000,nan,0.00000000,0,3599,0,17.54501724,0.09594068,0.02755943,0.97244057,28.52607028
6500,0.42002004,0.42002004,0,0.00000000,0.00000000,nan,0.00000000,0,3499,0,49.02785873,0.24708475,-0.02732877,1.02732877,29.89876747
6600,0.54804981,0.54804981,0,0.00000000,0.00000000,nan,0.00000000,0,3399,0,24.49307251,0.10911196,0.11889428,0.88110572,27.40528488
6700,0.65550947,0.65550947,0,0.00000000,0.00000000,nan,0.00000000,0,3299,0,25.50482559,0.10154634,-0.01492098,1.01492098,28.06892681
6800,0.77437848,0.77437848,0,0.00000000,0.00000000,nan,0.00000000,0,3199,0,48.89918137,0.20121481,-0.09983968,1.09983968,31.84251070
6900,0.25412282,0.25412282,0,0.00000000,0.00000000,nan,0.00000000,0,3099,0,24.03938866,0.08319138,0.16119236,0.83880764,23.02929831
7000,3.84980822,3.84980822,0,0.00000000,0.00000000,nan,0.00000000,0,2999,0,1.13649797,0.00222375,-0.06671462,1.06671462,52.75366338
7100,0.77258056,0.77258056,0,0.00000000,0.00000000,nan,0.00000000,0,2899,0,48.76451492,0.21144621,0.11168175,0.88831825,33.28016853
7200,0.69037944,0.69037944,0,0.00000000,0.00000000,nan,0.00000000,0,2799,0,20.98261642,0.11186691,0.07644641,0.92355359,27.91958904
7300,0.35672817,0.35672817,0,0.00000000,0.00000000,nan,0.00000000,0,2699,0,16.69097137,0.11515543,0.25356368,0.74643632,23.76103528
7400,0.27507523,0.27507523,0,0.00000000,0.00000000,nan,0.00000000,0,2599,0,48.42123795,0.23037712,-0.04451304,1.04451304,25.86436272
7500,0.53354782,0.53354782,0,0.00000000,0.00000000,nan,0.00000000,0,2499,0,48.82969666,0.21223862,-0.01432685,1.01432685,36.68705750
7600,0.35916558,0.35916558,0,0.00000000,0.00000000,nan,0.00000000,0,2399,0,45.45429611,0.18697004,0.09827502,0.90172498,24.39304209
7700,0.93934184,0.93934184,0,0.00000000,0.00000000,nan,0.00000000,0,2299,0,35.49020004,0.07657883,0.00497912,0.99502088,29.96748695
7800,0.35114375,0.35114375,0,0.00000000,0.00000000,nan,0.00000000,0,2199,0,36.65612793,0.12825131,0.09520482,0.90479518,24.40171814
7900,0.35729867,0.35729867,0,0.00000000,0.00000000,nan,0.00000000,0,2099,0,34.56196213,0.16273750,0.09774984,0.90225016,25.31939507
8000,4.21895409,4.21895409,0,0.00000000,0.00000000,nan,0.00000000,0,1999,0,1.12216294,0.00227259,-0.31948544,1.31948544,54.95959625
8100,0.84690511,0.84690511,0,0.00000000,0.00000000,nan,0.00000000,0,1899,0,9.05492020,0.04301461,0.29114379,0.70885621,27.60719109
8200,0.54931891,0.54931891,0,0.00000000,0.00000000,nan,0.00000000,0,1799,0,50.00687408,0.37384799,-0.05465209,1.05465209,27.48696423
8300,1.23609674,1.23609674,0,0.00000000,0.00000000,nan,0.00000000,0,1699,0,17.40537834,0.08087439,0.14626186,0.85373814,30.41090012
