step,bucket_id,prediction_error,trust_distance,baseline_error_mean,baseline_error_std,z_score,L_t
15268,2146,0.06753633,0.78333284,0.00902621,0.00100000,58.51012484,5.00000000
16120,2146,0.06739098,0.74912567,0.00902621,0.00100000,58.36477120,5.00000000
20012,2146,0.14018313,0.97114113,0.00902621,0.00100000,131.15692007,5.00000000
20057,2146,0.08004880,0.84219955,0.00902621,0.00100000,71.02258827,5.00000000
23105,2146,0.27784346,0.93520910,0.00943521,0.00100000,268.40824946,5.00000000
23187,2146,0.13645200,0.80350627,0.00943521,0.00100000,127.01679024,5.00000000
23193,2114,0.06211497,0.89913674,0.00847939,0.00100000,53.63558364,5.00000000
23224,2146,0.02889607,0.90906617,0.00943521,0.00100000,19.46086584,5.00000000
26887,3313,0.03447954,1.00874439,0.00661384,0.00100000,27.86569636,5.00000000
28456,3313,0.10290055,1.27790887,0.00661384,0.00100000,96.28670380,5.00000000
28782,3313,0.16988804,1.20981184,0.00661384,0.00100000,163.27419320,5.00000000
28994,3313,0.07522729,1.16826220,0.00661384,0.00100000,68.61345052,5.00000000
31867,5052,0.57180111,1.05001904,0.00917698,0.00100000,562.62413306,5.00000000
31911,5052,0.02526136,0.82515136,0.00917698,0.00100000,16.08438773,5.00000000
31916,5052,0.06245427,0.90480333,0.00917698,0.00100000,53.27728963,5.00000000
31952,4908,0.03474634,0.93726130,0.00970993,0.00100000,25.03640694,5.00000000
32714,4910,0.04078849,0.84417288,0.00650123,0.00100000,34.28725557,5.00000000
32720,3313,0.38090605,1.16882577,0.00457551,0.00100000,376.33053417,5.00000000
32792,4910,0.12857915,1.06999706,0.00650123,0.00100000,122.07791916,5.00000000
32849,3313,0.15082662,1.25589733,0.00457551,0.00100000,146.25110566,5.00000000
34124,4876,0.01421842,0.56288878,0.00650482,0.00100000,7.71359744,4.71359744
34213,4876,0.12022964,0.97314211,0.00650482,0.00100000,113.72482472,5.00000000
34256,4910,0.07254539,0.72710133,0.00901580,0.00100000,63.52958554,5.00000000
34354,4910,0.04169002,0.89724941,0.00901580,0.00100000,32.67422278,5.00000000
34816,4876,0.01692310,0.89104688,0.00761015,0.00100000,9.31295184,5.00000000
34889,4876,0.04577604,0.84019918,0.00761015,0.00100000,38.16588862,5.00000000
34921,4876,0.02269461,0.75911405,0.00761015,0.00100000,15.08445817,5.00000000
34925,4910,0.02478693,0.87821640,0.00498495,0.00100000,19.80197980,5.00000000
35503,4908,0.04664422,0.96633611,0.00663126,0.00100000,40.01296354,5.00000000
35574,4908,0.04919023,0.98406325,0.00663126,0.00100000,42.55897380,5.00000000
35606,4908,0.01234710,0.92434609,0.00663126,0.00100000,5.71584516,2.71584516
35647,4908,0.05905085,1.17961884,0.00663126,0.00100000,52.41959838,5.00000000
36281,7409,0.15048840,0.99867082,0.00944139,0.00100000,141.04701475,5.00000000
36366,3793,0.03478889,1.06110775,0.00955714,0.00100000,25.23174791,5.00000000
36396,4876,0.01505998,1.37759640,0.00944164,0.00100000,5.61834046,2.61834046
36472,7409,0.03694800,0.87558456,0.00944139,0.00100000,27.50661408,5.00000000
36987,4876,0.04102233,0.93424247,0.00883445,0.00100000,32.18787886,5.00000000
36999,4876,0.11544580,0.89387761,0.00883445,0.00100000,106.61135719,5.00000000
37048,4876,0.09943165,0.86551310,0.00883445,0.00100000,90.59720549,5.00000000
37090,4876,0.02085142,0.72854793,0.00883445,0.00100000,12.01696948,5.00000000
37374,4398,0.02801781,0.75406697,0.00864306,0.00100000,19.37475508,5.00000000
37414,6958,0.09736579,0.82526048,0.00905934,0.00100000,88.30644751,5.00000000
37536,4398,0.02921904,0.99258965,0.00864306,0.00100000,20.57597865,5.00000000
37555,6958,0.11699093,0.79202416,0.00905934,0.00100000,107.93158218,5.00000000
38081,7709,0.07404816,1.02573703,0.00986216,0.00100000,64.18599956,5.00000000
38090,7709,0.04155010,0.94479254,0.00986216,0.00100000,31.68793272,5.00000000
38450,7709,0.05143242,0.78623851,0.00986216,0.00100000,41.57026017,5.00000000
38587,7709,0.01928462,0.70800467,0.00986216,0.00100000,9.42246165,5.00000000
39074,4398,0.03165532,1.55971660,0.00599857,0.00100000,25.65674513,5.00000000
39100,4398,0.00799070,1.17346149,0.00609818,0.00100000,1.99212946,-1.00787054
