step,bucket_id,prediction_error,trust_distance,baseline_error_mean,baseline_error_std,z_score,L_t
10991,16,0.04392631,0.91346851,0.00979923,0.00100000,34.12708060,5.00000000
10994,16,0.07157758,0.84361159,0.00979923,0.00100000,61.77835139,5.00000000
11001,16,0.55787074,1.55649498,0.00979923,0.00100000,548.07150367,5.00000000
11020,16,0.37001741,1.27311593,0.00979923,0.00100000,360.21817973,5.00000000
12179,31,0.02468338,0.96612508,0.00908962,0.00100000,15.59375899,5.00000000
12181,31,0.00756909,0.77623703,0.00901360,0.00100000,-1.52053498,-4.52053498
12190,25,0.08556831,0.95578792,0.00175493,0.00100000,83.81337902,5.00000000
12192,25,0.08327460,1.00451567,0.00175493,0.00100000,81.51967264,5.00000000
12206,31,0.05665657,0.89168212,0.00901360,0.00100000,47.64297711,5.00000000
12230,13,0.02302995,1.06751524,0.00951771,0.00100000,13.51224039,5.00000000
12258,13,0.11078252,0.85334315,0.00951771,0.00100000,101.26480612,5.00000000
12261,37,0.04470343,0.99283168,0.00802659,0.00100000,36.67684210,5.00000000
12262,37,0.02055604,0.94357383,0.00802659,0.00100000,12.52944622,5.00000000
12332,23,0.10011195,0.92904844,0.00856398,0.00100000,91.54796521,5.00000000
12358,23,0.09677432,1.03318155,0.00856398,0.00100000,88.21033436,5.00000000
12398,23,0.33129524,0.96952558,0.00856398,0.00100000,322.73125653,5.00000000
12399,23,0.08669060,0.79200995,0.00856398,0.00100000,78.12661532,5.00000000
12452,37,0.02532815,0.90379245,0.00837026,0.00100000,16.95788707,5.00000000
12455,37,0.06124580,1.10851137,0.00837026,0.00100000,52.87553949,5.00000000
12471,37,0.03972575,0.75629410,0.00837026,0.00100000,31.35548909,5.00000000
12472,37,0.03029516,0.89607612,0.00837026,0.00100000,21.92489879,5.00000000
12484,10,0.04374709,0.85184466,0.00751647,0.00100000,36.23061666,5.00000000
12487,10,0.08142238,1.05770999,0.00751647,0.00100000,73.90590674,5.00000000
12494,10,0.11019536,0.87740284,0.00751647,0.00100000,102.67889139,5.00000000
12496,31,0.04094015,0.79872211,0.00796188,0.00100000,32.97826858,5.00000000
12713,10,0.01272642,0.94878567,0.00889943,0.00100000,3.82698791,0.82698791
12718,10,0.04051084,0.93715901,0.00889943,0.00100000,31.61140240,5.00000000
12723,10,0.04523428,1.18652807,0.00889943,0.00100000,36.33484437,5.00000000
