step,current_error,kde_neighbors,kde_support,kde_neff,kde_mean_error,kde_std_error,trusted,z_t,L_t,W_t,mean_total_var,mean_epistemic_var,warning,frozen,warmup_remaining,regime_change,predictor_nll
0,9.23323693,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.00187528,0.00378657,0,0,9999,0,101.55631828
100,0.97214536,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.11053395,0.06117056,0,0,9899,0,137.19459534
200,3.10364335,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,2.46884608,0.61716902,0,0,9799,0,350.17822266
300,8.60439669,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,4.56281662,0.78050202,0,0,9699,0,225.40932083
400,3.59131431,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,2.97429228,0.55141366,0,0,9599,0,209.45253754
500,2.12557811,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.56858122,0.11691271,0,0,9499,0,88.61925507
600,1.90651897,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,2.22136521,0.14560500,0,0,9399,0,67.33780670
700,1.83402093,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.98914862,0.10603084,0,0,9299,0,54.14055634
800,1.80681394,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.94718635,0.14542179,0,0,9199,0,88.71447754
900,10.56066183,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,10.49490166,0.33495924,0,0,9099,0,94.87634786
1000,0.59444338,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.04825974,0.00184278,0,0,8999,0,62.97020245
1100,0.79845934,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,1.51249754,0.05768348,0,0,8899,0,69.43740463
1200,3.68668712,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,5.93299675,0.23074478,0,0,8799,0,54.65844472
1300,0.90968909,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,2.12882280,0.06950793,0,0,8699,0,35.14142752
1400,1.82314236,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,6.14373064,0.12747900,0,0,8599,0,61.42923889
1500,5.06188232,0,0.00000000,0.00000000,nan,nan,0,nan,0.00000000,0.00000000,7.54910803,0.24456494,0,0,8499,0,42.52957249
